Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Jobson,br BRA,MF,23.0,4,122.0,31.0,3.6,1.4,1,48.0,0.0,3,25.0,27,2.5,3.0,1.0,2.0,1.48,0.79,2.9,0.8,2.0,1.51,0.96,Matches
Jonathan Copete,co COL,FW,31.0,1,45.0,45.0,1.3,0.5,1,45.0,0.0,0,,2,3.0,0.0,0.0,0.0,0.0,-0.72,0.3,0.4,-0.2,-0.36,-0.96,Matches
Lucas Venuto,br BRA,"MF,FW",24.0,4,54.0,14.0,1.6,0.6,0,,0.0,4,13.0,16,1.75,1.0,2.0,-1.0,-1.67,-2.42,1.8,0.2,1.6,2.68,2.13,Matches
Kaio Jorge,br BRA,"FW,MF",17.0,3,25.0,8.0,0.7,0.3,0,,0.0,3,7.0,14,2.33,1.0,0.0,1.0,3.6,2.91,0.8,0.2,0.6,2.2,1.62,Matches
Sandry,br BRA,MF,16.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,0.0,4,3.0,0.0,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,-0.59,Matches
Yuri Alberto,br BRA,FW,17.0,0,,,,,0,,0.0,0,,4,,,,,,,,,,,,Matches
Allanzinho,br BRA,FW,18.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,,Matches
Cadu,br BRA,DF,16.0,0,,,,,0,,0.0,0,,4,,,,,,,,,,,,Matches
Ivonei,br BRA,MF,16.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,Matches
John,br BRA,GK,22.0,0,,,,,0,,0.0,0,,18,,,,,,,,,,,,Matches
Yuri Oliveira Lima,br BRA,"DF,MF",24.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,Matches
João Paulo,br BRA,GK,23.0,0,,,,,0,,0.0,0,,16,,,,,,,,,,,,Matches
Matheus Ribeiro,br BRA,DF,25.0,0,,,,,0,,0.0,0,,8,,,,,,,,,,,,Matches
Kaique Rocha,br BRA,DF,17.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,Matches
Alexandre Tam,br BRA,FW,19.0,0,,,,,0,,0.0,0,,9,,,,,,,,,,,,Matches
Wagner,br BRA,DF,19.0,0,,,,,0,,0.0,0,,9,,,,,,,,,,,,Matches
Squad Total,,,26.5,38,3420.0,90.0,100.0,38.0,418,84.0,,111,22.0,340,1.95,60.0,33.0,27.0,0.71,,62.1,39.8,22.3,0.59,,
Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,84.0,,111,24.0,320,0.84,33.0,60.0,-27.0,-0.71,,39.8,62.1,-22.3,-0.59,,
