Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Vanderlei,br BRA,GK,33.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,0,1.32,45.0,39.0,6.0,0.16,0.16,Matches
Dodô,br BRA,DF,25.0,36,3207.0,89.0,93.8,35.6,36,89.0,35.0,0,,0,1.36,44.0,36.0,8.0,0.22,1.07,Matches
Gabriel Barbosa,br BRA,"FW,MF",21.0,35,2964.0,85.0,86.7,32.9,34,86.0,24.0,1,45.0,0,1.34,44.0,36.0,8.0,0.24,0.64,Matches
Victor Ferraz,br BRA,"DF,MF",30.0,32,2880.0,90.0,84.2,32.0,32,90.0,32.0,0,,3,1.38,41.0,32.0,9.0,0.28,0.78,Matches
Rodrygo,br BRA,"FW,MF",17.0,35,2679.0,77.0,78.3,29.8,30,84.0,16.0,5,34.0,0,1.23,33.0,33.0,0.0,0.0,-0.73,Matches
Diego Pituca,br BRA,MF,25.0,33,2489.0,75.0,72.8,27.7,28,86.0,22.0,5,17.0,2,1.48,37.0,27.0,10.0,0.36,0.75,Matches
Alison,br BRA,MF,24.0,28,2264.0,81.0,66.2,25.2,28,81.0,14.0,0,,1,1.29,25.0,26.0,-1.0,-0.04,-0.58,Matches
Gustavo Henrique,br BRA,DF,24.0,29,2403.0,83.0,70.3,26.7,27,87.0,26.0,2,22.0,7,1.48,29.0,22.0,7.0,0.26,0.35,Matches
Bruno Henrique,br BRA,"FW,MF",27.0,28,1700.0,61.0,49.7,18.9,19,80.0,8.0,9,21.0,1,1.18,17.0,15.0,2.0,0.11,-0.1,Matches
