Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Vanderlei,br BRA,GK,33.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dodô,br BRA,DF,25.0,36,36,3207.0,35.6,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.03,0.08,0.11,0.03,0.11,Matches
Gabriel Barbosa,br BRA,"FW,MF",21.0,35,34,2964.0,32.9,18.0,2.0,20.0,16.0,2.0,3.0,9.0,0.0,0.55,0.06,0.61,0.49,0.55,Matches
Victor Ferraz,br BRA,"DF,MF",30.0,32,32,2880.0,32.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Rodrygo,br BRA,"FW,MF",17.0,35,30,2679.0,29.8,8.0,3.0,11.0,8.0,0.0,0.0,1.0,0.0,0.27,0.1,0.37,0.27,0.37,Matches
Diego Pituca,br BRA,MF,25.0,33,28,2489.0,27.7,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.04,0.11,0.14,0.04,0.14,Matches
Alison,br BRA,MF,24.0,28,28,2264.0,25.2,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Gustavo Henrique,br BRA,DF,24.0,29,27,2403.0,26.7,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Bruno Henrique,br BRA,"FW,MF",27.0,28,19,1700.0,18.9,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.05,0.16,0.21,0.05,0.21,Matches
Eduardo Sasha,br BRA,"FW,MF",25.0,25,19,1495.0,16.6,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.06,0.18,0.24,0.06,0.24,Matches
Jean Mota,br BRA,"DF,MF",24.0,20,16,1372.0,15.2,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Carlos Sánchez,uy URU,MF,33.0,16,16,1337.0,14.9,4.0,4.0,8.0,3.0,1.0,1.0,2.0,1.0,0.27,0.27,0.54,0.2,0.47,Matches
Lucas Veríssimo,br BRA,DF,22.0,14,14,1135.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
David Braz,br BRA,DF,30.0,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luiz Felipe,br BRA,DF,24.0,13,11,1130.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renato,br BRA,MF,38.0,17,8,902.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Derlis González,py PAR,"FW,MF",23.0,16,8,816.0,9.1,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,0.11,0.55,0.66,0.11,0.66,Matches
Robson Bambu,br BRA,DF,20.0,9,8,728.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Guedes,br BRA,DF,23.0,8,6,549.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Léo Cittadini,br BRA,MF,23.0,12,4,435.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Arthur,br BRA,"FW,MF",19.0,13,4,413.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
Jonathan Copete,co COL,"FW,MF",30.0,18,3,465.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Bryan Ruiz,cr CRC,"FW,MF",32.0,12,3,360.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,Matches
Yuri Oliveira Lima,br BRA,"DF,MF",23.0,5,3,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felippe Cardoso,br BRA,FW,19.0,4,3,262.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
Yuri Alberto,br BRA,FW,16.0,9,2,265.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vitor Bueno,br BRA,"FW,MF",23.0,5,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme Nunes,br BRA,MF,19.0,2,2,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vladimir,br BRA,GK,28.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diogo Vitor da Cruz,br BRA,FW,20.0,1,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emiliano Vecchio,ar ARG,MF,29.0,2,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Calabres,br BRA,MF,19.0,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Lourenço,br BRA,MF,17.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anderson Ceará,br BRA,MF,18.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kaio Jorge,br BRA,FW,16.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Caju,br BRA,DF,22.0,0,0,,,,,,,,,,,,,,,,Matches
John,br BRA,GK,21.0,0,0,,,,,,,,,,,,,,,,Matches
João Paulo,br BRA,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches
Kaique Rocha,br BRA,DF,16.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.1,38,418,3420.0,38.0,44.0,31.0,75.0,41.0,3.0,4.0,90.0,3.0,1.16,0.82,1.97,1.08,1.89,
Opponent Total,,,27.1,38,418,3420.0,38.0,40.0,30.0,70.0,38.0,2.0,2.0,104.0,4.0,1.05,0.79,1.84,1.0,1.79,
