Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
João Paulo,br BRA,GK,26.0,37,37,3330,37.0,41,1.11,172,132,79.7,12,10,15,10,27.0,7,6,0,1,0.0,Matches
John,br BRA,GK,25.0,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,25.4,38,38,3420,38.0,41,1.08,173,133,79.8,12,11,15,11,28.9,7,6,0,1,0.0,
Opponent Total,,,27.6,38,38,3420,38.0,44,1.16,160,118,74.4,15,11,12,14,36.8,3,3,0,0,0.0,
