Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Corinthians,38,21,9,8,50,30,20,72,1.89,38052,Jô - 18,Cássio,→ Copa Libertadores via league finish
2,Palmeiras,38,19,6,13,61,45,16,63,1.66,28520,Dudu - 9,Fernando Prass,→ Copa Libertadores via league finish
3,Santos,38,17,12,9,42,32,10,63,1.66,12304,"Ricardo Oliveira, Bruno Henrique - 8",Vanderlei,→ Copa Libertadores via league finish
4,Grêmio,38,18,8,12,55,36,19,62,1.63,19921,Fernandinho - 9,Marcelo Grohe,→ Copa Libertadores
5,Cruzeiro,38,15,12,11,47,39,8,57,1.5,17369,Thiago Neves - 11,Fábio,→ Copa Libertadores via cup win 1
