Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-09-30,16:00,Série A,Matchweek 27,Sun,Home,W,1,0,Ath Paranaense,62,7802.0,Victor Ferraz,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2018-10-05,21:30,Série A,Matchweek 28,Fri,Away,W,1,0,Vitória,42,7478.0,Victor Ferraz,4-3-3,4-2-3-1,Daniel Nobre Bins,Match Report,
2018-10-13,19:00,Série A,Matchweek 29,Sat,Home,W,1,0,Corinthians,44,26428.0,Victor Ferraz,4-3-3,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,
2018-10-22,21:00,Série A,Matchweek 30,Mon,Away,D,2,2,Internacional,51,38492.0,Victor Ferraz,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2018-10-27,17:30,Série A,Matchweek 31,Sat,Home,W,3,0,Fluminense,70,8680.0,Victor Ferraz,4-3-3,4-3-1-2,Heber Roberto Lopes,Match Report,
2018-11-03,20:00,Série A,Matchweek 32,Sat,Away,L,2,3,Palmeiras,61,38938.0,Victor Ferraz,4-3-3,4-2-3-1,Braulio da Silva Machado,Match Report,
2018-11-12,20:00,Série A,Matchweek 33,Mon,Home,L,0,1,Chapecoense,63,12659.0,Vanderlei,4-3-3,4-2-3-1,Rafael Traci,Match Report,
2018-11-15,17:00,Série A,Matchweek 34,Thu,Away,L,0,1,Flamengo,44,46067.0,Victor Ferraz,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2018-11-18,17:00,Série A,Matchweek 35,Sun,Away,L,1,2,América (MG),52,4652.0,Victor Ferraz,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2018-11-21,21:00,Série A,Matchweek 36,Wed,Home,D,1,1,Botafogo (RJ),51,3620.0,Victor Ferraz,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2018-11-24,20:00,Série A,Matchweek 37,Sat,Home,W,3,2,Atlético Mineiro,41,4591.0,Victor Ferraz,4-4-2,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2018-12-02,16:00,Série A,Matchweek 38,Sun,Away,L,1,2,Sport Recife,51,23451.0,Victor Ferraz,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
