Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Fábio,br BRA,GK,37.0,30,2700.0,90.0,78.9,30.0,30,90.0,30.0,0,,1,1.53,29.0,27.0,2.0,0.07,0.32,Matches
Léo,br BRA,DF,30.0,31,2694.0,87.0,78.8,29.9,30,89.0,29.0,1,38.0,5,1.48,30.0,27.0,3.0,0.1,0.47,Matches
Egídio Pereira Júnior,br BRA,DF,31.0,25,2205.0,88.0,64.5,24.5,24,90.0,24.0,1,45.0,5,1.64,24.0,21.0,3.0,0.12,0.34,Matches
Robinho,br BRA,MF,30.0,28,2024.0,72.0,59.2,22.5,23,82.0,13.0,5,26.0,1,1.5,24.0,21.0,3.0,0.13,0.33,Matches
Thiago Neves,br BRA,MF,32.0,24,1746.0,73.0,51.1,19.4,21,79.0,9.0,3,28.0,1,1.38,17.0,15.0,2.0,0.1,0.21,Matches
Lucas Romero,ar ARG,"DF,MF",23.0,23,1851.0,80.0,54.1,20.6,20,89.0,19.0,3,21.0,7,1.61,22.0,17.0,5.0,0.24,0.53,Matches
Dedé,br BRA,DF,29.0,20,1800.0,90.0,52.6,20.0,20,90.0,20.0,0,,1,1.85,24.0,16.0,8.0,0.4,0.84,Matches
Henrique Pacheco Lima,br BRA,MF,32.0,19,1710.0,90.0,50.0,19.0,19,90.0,19.0,0,,8,1.26,17.0,20.0,-3.0,-0.16,-0.32,Matches
Lucas Silva,br BRA,MF,24.0,23,1595.0,69.0,46.6,17.7,19,81.0,13.0,4,13.0,12,1.87,17.0,8.0,9.0,0.51,0.95,Matches
Ariel Cabral,ar ARG,MF,30.0,21,1538.0,73.0,45.0,17.1,18,84.0,11.0,3,8.0,10,1.14,14.0,20.0,-6.0,-0.35,-0.64,Matches
Edílson Mendes,br BRA,DF,31.0,18,1532.0,85.0,44.8,17.0,18,85.0,15.0,0,,3,1.5,16.0,18.0,-2.0,-0.12,-0.21,Matches
Manoel,br BRA,DF,27.0,16,1395.0,87.0,40.8,15.5,15,90.0,15.0,1,45.0,20,0.88,8.0,15.0,-7.0,-0.45,-0.76,Matches
Giorgian De Arrascaeta,uy URU,"FW,MF",23.0,20,1337.0,67.0,39.1,14.9,14,83.0,10.0,6,30.0,1,1.35,20.0,16.0,4.0,0.27,0.44,Matches
Ezequiel,br BRA,DF,24.0,15,1299.0,87.0,38.0,14.4,14,90.0,13.0,1,45.0,17,1.13,11.0,11.0,0.0,0.0,0.0,Matches
Bruno Silva,br BRA,MF,31.0,20,1115.0,56.0,32.6,12.4,14,74.0,6.0,6,13.0,12,1.45,7.0,9.0,-2.0,-0.16,-0.24,Matches
