Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Fábio,br BRA,GK,38.0,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Henrique Pacheco Lima,br BRA,MF,33.0,33.0,0,24,2,8.3,0.73,0.06,0.0,0.0,22.9,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Thiago Neves,br BRA,MF,33.0,23.4,6,78,26,33.3,3.33,1.11,0.06,0.19,24.2,10,1,2,6.9,5.3,0.07,-0.9,-0.3,Matches
Egídio Pereira Júnior,br BRA,DF,32.0,22.7,0,20,7,35.0,0.88,0.31,0.0,0.0,27.5,1,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Fred,br BRA,FW,35.0,24.5,5,43,18,41.9,1.76,0.74,0.05,0.11,14.6,0,3,3,9.3,7.0,0.16,-4.3,-5.0,Matches
David,br BRA,"FW,MF",23.0,22.5,0,51,14,27.5,2.27,0.62,0.0,0.0,21.2,0,0,0,4.3,4.3,0.08,-4.3,-4.3,Matches
Luis Manuel Orejuela,co COL,DF,23.0,20.2,2,14,6,42.9,0.69,0.3,0.14,0.33,18.2,0,0,0,1.3,1.3,0.09,0.7,0.7,Matches
Robinho,br BRA,"MF,FW",31.0,20.8,1,32,7,21.9,1.54,0.34,0.03,0.14,21.0,7,0,0,3.6,3.6,0.11,-2.6,-2.6,Matches
Marquinhos Gabriel,br BRA,"FW,MF",28.0,20.0,0,28,5,17.9,1.4,0.25,0.0,0.0,20.3,0,0,0,2.0,2.0,0.07,-2.0,-2.0,Matches
Dedé,br BRA,DF,30.0,18.8,3,17,7,41.2,0.9,0.37,0.18,0.43,11.2,0,0,0,2.2,2.2,0.13,0.8,0.8,Matches
Éderson,br BRA,MF,19.0,18.3,2,30,8,26.7,1.64,0.44,0.07,0.25,22.3,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
Fabrício Bruno,br BRA,DF,22.0,19.0,0,8,1,12.5,0.42,0.05,0.0,0.0,11.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Cacá,br BRA,DF,19.0,19.2,1,8,3,37.5,0.42,0.16,0.13,0.33,16.1,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
