Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
10,São Paulo,38,14,10,14,44,36,8,52,1.37,22553,Andrés Chávez - 9,Denis,→ Copa Sudamericana via league finish
11,Chapecoense,37,13,13,11,49,53,-4,52,1.41,7211,Bruno Rangel - 10,Danilo,→ Copa Libertadores
12,Cruzeiro,38,14,9,15,48,49,-1,51,1.34,21085,Giorgian De Arrascaeta - 9,Fábio,→ Copa Sudamericana via league finish
13,Fluminense,38,13,11,14,45,45,0,50,1.32,10241,Cícero Santos - 9,Diego Cavalieri,→ Copa Sudamericana via league finish
14,Sport Recife,38,13,8,17,49,55,-6,47,1.24,15706,Diego Souza - 14,Magrão,→ Copa Sudamericana via league finish
