Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-03-07,19:00,Libertadores,Group stage,Thu,Away,W,1,0,ar Huracán,0.6,1.5,44,,Henrique Pacheco Lima,4-2-3-1,4-4-2,Diego Haro,Match Report,
2019-03-27,21:30,Libertadores,Group stage,Wed,Home,W,2,0,ve Deportivo Lara,2.0,0.9,53,,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Piero Maza,Match Report,
2019-04-03,19:30,Libertadores,Group stage,Wed,Away,W,1,0,ec CS Emelec,1.4,0.5,49,,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Víctor Carrillo,Match Report,
2019-04-10,19:15,Libertadores,Group stage,Wed,Home,W,4,0,ar Huracán,1.7,1.9,54,,Henrique Pacheco Lima,4-2-3-1,4-4-2,Julio Bascuñán,Match Report,
2019-04-23,16:00,Libertadores,Group stage,Tue,Away,W,2,0,ve Deportivo Lara,1.3,0.4,55,,Henrique Pacheco Lima,4-2-3-1,4-4-2,Gery Vargas,Match Report,
2019-04-27,21:00,Série A,Matchweek 1,Sat,Away,L,1,3,Flamengo,0.4,2.5,42,35016.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2019-05-01,19:15,Série A,Matchweek 2,Wed,Home,W,1,0,Ceará,1.1,1.9,58,22677.0,Léo,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2019-05-05,16:00,Série A,Matchweek 3,Sun,Home,W,2,1,Goiás,1.3,1.2,61,19735.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,
2019-05-08,19:15,Libertadores,Group stage,Wed,Home,L,1,2,ec CS Emelec,0.8,1.0,52,,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Andrés Rojas,Match Report,
2019-05-12,16:00,Série A,Matchweek 4,Sun,Away,L,1,3,Internacional,1.8,2.8,47,21483.0,Léo,4-2-3-1,4-3-3,Raphael Claus,Match Report,
2019-05-18,18:00,Série A,Matchweek 5,Sat,Away,L,1,4,Fluminense,1.2,2.5,46,11437.0,Henrique Pacheco Lima,4-2-3-1,4-1-4-1,Flavio Rodrigues De Souza,Match Report,
2019-05-26,19:00,Série A,Matchweek 6,Sun,Home,L,1,2,Chapecoense,1.6,1.4,64,18039.0,Henrique Pacheco Lima,4-1-4-1,4-4-1-1,Dewson Fernando Freitas da Silva,Match Report,
2019-06-02,16:00,Série A,Matchweek 7,Sun,Away,D,1,1,São Paulo,1.4,1.0,59,8517.0,Henrique Pacheco Lima,4-2-3-1,4-3-3,Braulio da Silva Machado,Match Report,
2019-06-08,19:00,Série A,Matchweek 8,Sat,Home,D,0,0,Corinthians,1.2,0.4,46,21370.0,Henrique Pacheco Lima,4-2-3-1,4-1-4-1,Marcelo de Lima Henrique,Match Report,
2019-06-12,21:00,Série A,Matchweek 9,Wed,Away,L,1,2,Fortaleza,0.5,1.6,54,17099.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2019-07-14,16:00,Série A,Matchweek 10,Sun,Home,D,0,0,Botafogo (RJ),0.9,0.4,43,18012.0,Henrique Pacheco Lima,4-2-3-1,4-3-3,Leandro Pedro Vuaden,Match Report,
2019-07-20,17:00,Série A,Matchweek 11,Sat,Away,D,0,0,Bahia,0.9,0.8,43,24864.0,Rafael Pires,4-3-3,4-1-4-1,Luiz Flávio de Oliveira,Match Report,
2019-07-23,19:15,Libertadores,Round of 16,Tue,Away,D,0,0,ar River Plate,0.2,2.8,37,,Henrique Pacheco Lima,4-2-3-1,4-1-3-2,Julio Bascuñán,Match Report,Leg 1 of 2
2019-07-27,19:00,Série A,Matchweek 12,Sat,Home,L,0,2,Ath Paranaense,0.5,2.0,41,20689.0,Rafael Pires,4-2-3-1,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,
2019-07-30,19:15,Libertadores,Round of 16,Tue,Home,D,0 (2),0 (4),ar River Plate,0.9,1.1,45,,Henrique Pacheco Lima,4-4-2,4-1-3-2,Roberto Tobar,Match Report,Leg 2 of 2; River Plate won; River Plate won on penalty kicks following extra time
2019-08-04,19:00,Série A,Matchweek 13,Sun,Away,L,0,2,Atlético Mineiro,0.5,1.4,62,13181.0,Henrique Pacheco Lima,4-2-3-1,4-1-4-1,Leandro Pedro Vuaden,Match Report,
2019-08-11,16:00,Série A,Matchweek 14,Sun,Away,D,2,2,Avaí,1.6,2.0,50,4921.0,Henrique Pacheco Lima,4-2-3-1,4-3-3,Paulo Roberto Alves Júnior,Match Report,
2019-08-18,16:00,Série A,Matchweek 15,Sun,Home,W,2,0,Santos,2.7,0.2,65,43604.0,Henrique Pacheco Lima,4-3-3,3-4-3,Anderson Daronco,Match Report,
2019-08-25,19:00,Série A,Matchweek 16,Sun,Away,D,1,1,CSA,1.5,1.1,52,8715.0,Henrique Pacheco Lima,4-2-3-1,4-1-2-1-2,Marcelo de Lima Henrique,Match Report,
2019-09-01,19:00,Série A,Matchweek 17,Sun,Home,W,1,0,Vasco da Gama,0.7,1.4,56,26052.0,Henrique Pacheco Lima,4-2-3-1,4-1-4-1,Heber Roberto Lopes,Match Report,
2019-09-08,11:00,Série A,Matchweek 18,Sun,Home,L,1,4,Grêmio,1.8,2.2,52,14208.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,
2019-09-14,19:00,Série A,Matchweek 19,Sat,Away,L,0,1,Palmeiras,0.6,0.6,43,35578.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2019-09-21,17:00,Série A,Matchweek 20,Sat,Home,L,1,2,Flamengo,1.4,2.6,42,40333.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2019-09-25,19:30,Série A,Matchweek 21,Wed,Away,D,0,0,Ceará,1.7,2.0,53,18595.0,Henrique Pacheco Lima,4-1-4-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2019-09-30,20:00,Série A,Matchweek 22,Mon,Away,L,0,1,Goiás,1.0,0.8,65,24142.0,Henrique Pacheco Lima,4-2-3-1,4-3-3,Gilberto Rodrigues Castro Junior,Match Report,
2019-10-05,21:00,Série A,Matchweek 23,Sat,Home,D,1,1,Internacional,2.0,1.0,53,22561.0,Fábio,4-2-3-1,4-3-3,Wagner do Nascimento Magalhaes,Match Report,
2019-10-09,21:30,Série A,Matchweek 24,Wed,Home,D,0,0,Fluminense,1.2,0.4,51,38113.0,Henrique Pacheco Lima,4-4-2,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,
2019-10-13,19:00,Série A,Matchweek 25,Sun,Away,D,1,1,Chapecoense,1.5,1.8,40,4399.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2019-10-16,21:00,Série A,Matchweek 26,Wed,Home,W,1,0,São Paulo,0.6,0.6,41,30969.0,Henrique Pacheco Lima,4-2-3-1,4-1-4-1,Wilton Sampaio,Match Report,
