Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2014-02-12,19:00,Libertadores,Second stage,Wed,Away,L,1,2,pe Real Garcilaso,,10000.0,,,,José Argote,Match Report,
2014-02-25,17:30,Libertadores,Second stage,Tue,Home,W,5,1,cl U de Chile,,25000.0,,,,Saúl Laverni,Match Report,
2014-03-11,19:00,Libertadores,Second stage,Tue,Away,L,0,2,uy Defensor,,,,4-2-3-1,4-2-3-1,Diego Abal,Match Report,
2014-03-20,22:00,Libertadores,Second stage,Thu,Home,D,2,2,uy Defensor,,,,4-2-3-1,4-5-1,Mauro Vigliano,Match Report,
2014-04-03,20:00,Libertadores,Second stage,Thu,Away,W,2,0,cl U de Chile,,,,,,Germán Delfino,Match Report,
2014-04-09,21:00,Libertadores,Second stage,Wed,Home,W,3,0,pe Real Garcilaso,,,,,,Adrián Vélez,Match Report,
2014-04-16,22:00,Libertadores,Round of 16,Wed,Home,D,1,1,py Cerro Porteño,,,,,,Daniel Fedorczuk,Match Report,Leg 1 of 2
2014-04-20,16:00,Série A,Matchweek 1,Sun,Away,W,2,1,Bahia,,9348.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2014-04-27,16:00,Série A,Matchweek 2,Sun,Home,D,1,1,São Paulo,,17530.0,,4-2-3-1,4-2-2-2,Wagner do Nascimento Magalhaes,Match Report,
2014-04-30,21:00,Libertadores,Round of 16,Wed,Away,W,2,0,py Cerro Porteño,,,,,,Darío Ubríaco,Match Report,Leg 2 of 2; Cruzeiro won
2014-05-03,18:30,Série A,Matchweek 3,Sat,Away,W,3,2,Ath Paranaense,,11877.0,,4-5-1,4-4-2,Elmo Alves Resende Cunha,Match Report,
2014-05-07,21:00,Libertadores,Quarter-finals,Wed,Away,L,0,1,ar San Lorenzo,,,,,,Antonio Arias,Match Report,Leg 1 of 2
2014-05-11,16:00,Série A,Matchweek 4,Sun,Away,L,1,2,Atlético Mineiro,,9048.0,,4-5-1,3-5-1-1,Heber Roberto Lopes,Match Report,
2014-05-14,22:00,Libertadores,Quarter-finals,Wed,Home,D,1,1,ar San Lorenzo,,,,,,Martín Vázquez,Match Report,Leg 2 of 2; San Lorenzo won
2014-05-17,18:30,Série A,Matchweek 5,Sat,Home,W,3,2,Coritiba,,11663.0,,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2014-05-21,21:00,Série A,Matchweek 6,Wed,Home,W,2,0,Sport Recife,,13679.0,,4-2-3-1,4-2-2-2,Felipe Gomes da Silva,Match Report,
2014-05-25,18:30,Série A,Matchweek 7,Sun,Away,W,3,1,Internacional,,7541.0,,4-2-3-1,4-2-3-1,Paulo Henrique De Godoy Bezerra,Match Report,
2014-05-28,22:00,Série A,Matchweek 8,Wed,Away,L,0,1,Corinthians,,17696.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2014-06-01,16:00,Série A,Matchweek 9,Sun,Home,W,3,0,Flamengo,,10283.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2014-07-17,21:00,Série A,Matchweek 10,Thu,Home,W,3,1,Vitória,,24156.0,,4-2-3-1,4-3-2-1,Péricles Bassols Pegado Cortez,Match Report,
2014-07-20,16:00,Série A,Matchweek 11,Sun,Away,W,2,1,Palmeiras,,14970.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2014-07-26,18:30,Série A,Matchweek 12,Sat,Home,W,5,0,Figueirense,,21190.0,,4-2-3-1,4-1-2-1-2,Gilberto Rodrigues Castro Junior,Match Report,
2014-08-02,18:30,Série A,Matchweek 13,Sat,Away,D,1,1,Botafogo (RJ),,13535.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2014-08-09,18:30,Série A,Matchweek 14,Sat,Away,D,0,0,Criciúma,,9521.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2014-08-17,16:00,Série A,Matchweek 15,Sun,Home,W,3,0,Santos,,39215.0,,4-2-2-2,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2014-08-21,20:30,Série A,Matchweek 16,Thu,Home,W,1,0,Grêmio,,32294.0,,4-2-3-1,4-3-2-1,Flavio Rodrigues Guerra,Match Report,
2014-08-24,18:30,Série A,Matchweek 17,Sun,Away,W,1,0,Goiás,,5163.0,,4-2-3-1,5-3-2,Francisco Carlos do Nascimento,Match Report,
