Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Fábio,br BRA,GK,36.0,32,2880.0,90.0,84.2,32.0,32,90.0,32.0,0,,1,1.47,38.0,31.0,7.0,0.22,0.05,Matches
Diogo Barbosa,br BRA,DF,24.0,31,2774.0,89.0,81.1,30.8,31,89.0,30.0,0,,2,1.58,36.0,29.0,7.0,0.23,0.09,Matches
Thiago Neves,br BRA,MF,31.0,33,2598.0,79.0,76.0,28.9,30,85.0,20.0,3,21.0,1,1.48,35.0,30.0,5.0,0.17,-0.16,Matches
Henrique Pacheco Lima,br BRA,MF,31.0,28,2308.0,82.0,67.5,25.6,27,85.0,24.0,1,16.0,3,1.46,30.0,24.0,6.0,0.23,0.07,Matches
Léo,br BRA,DF,29.0,26,2340.0,90.0,68.4,26.0,26,90.0,26.0,0,,1,1.5,32.0,24.0,8.0,0.31,0.31,Matches
Lucas Romero,ar ARG,"DF,MF",22.0,29,2253.0,78.0,65.9,25.0,26,84.0,22.0,3,20.0,4,1.52,32.0,26.0,6.0,0.24,0.09,Matches
Rafinha,br BRA,MF,33.0,28,1992.0,71.0,58.2,22.1,24,80.0,11.0,4,20.0,0,1.5,28.0,21.0,7.0,0.32,0.25,Matches
Murilo Cerqueira,br BRA,DF,19.0,24,1994.0,83.0,58.3,22.2,22,86.0,20.0,2,54.0,8,1.5,26.0,18.0,8.0,0.36,0.36,Matches
Alisson,br BRA,"FW,MF",23.0,27,1860.0,69.0,54.4,20.7,20,84.0,11.0,7,27.0,2,1.59,25.0,22.0,3.0,0.15,-0.14,Matches
Ezequiel,br BRA,DF,23.0,21,1808.0,86.0,52.9,20.1,20,90.0,19.0,1,11.0,2,1.59,28.0,25.0,3.0,0.15,-0.13,Matches
