Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Fábio,br BRA,GK,37.0,30.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Léo,br BRA,DF,30.0,29.9,0,9,2,22.2,0.3,0.07,0.0,0.0,,0,0,Matches
Egídio Pereira Júnior,br BRA,DF,31.0,24.5,0,16,3,18.8,0.65,0.12,0.0,0.0,,0,0,Matches
Robinho,br BRA,MF,30.0,22.5,1,22,6,27.3,0.98,0.27,0.05,0.17,,0,0,Matches
Thiago Neves,br BRA,MF,32.0,19.4,3,53,20,37.7,2.73,1.03,0.04,0.1,,1,1,Matches
Lucas Romero,ar ARG,"DF,MF",23.0,20.6,0,7,2,28.6,0.34,0.1,0.0,0.0,,0,0,Matches
Dedé,br BRA,DF,29.0,20.0,3,18,9,50.0,0.9,0.45,0.17,0.33,,0,0,Matches
Henrique Pacheco Lima,br BRA,MF,32.0,19.0,0,21,2,9.5,1.11,0.11,0.0,0.0,,0,0,Matches
Lucas Silva,br BRA,MF,24.0,17.7,0,25,4,16.0,1.41,0.23,0.0,0.0,,0,0,Matches
Ariel Cabral,ar ARG,MF,30.0,17.1,0,7,0,0.0,0.41,0.0,0.0,,,0,0,Matches
Edílson Mendes,br BRA,DF,31.0,17.0,1,15,4,26.7,0.88,0.23,0.07,0.25,,0,0,Matches
Manoel,br BRA,DF,27.0,15.5,1,2,1,50.0,0.13,0.06,0.5,1.0,,0,0,Matches
Giorgian De Arrascaeta,uy URU,"FW,MF",23.0,14.9,6,52,17,32.7,3.5,1.14,0.12,0.35,,0,0,Matches
Ezequiel,br BRA,DF,24.0,14.4,0,4,1,25.0,0.28,0.07,0.0,0.0,,0,0,Matches
Bruno Silva,br BRA,MF,31.0,12.4,2,23,5,21.7,1.86,0.4,0.09,0.4,,0,0,Matches
Rafael Sóbis,br BRA,"FW,MF",32.0,12.9,3,40,11,27.5,3.1,0.85,0.03,0.09,,2,2,Matches
Federico Mancuello,ar ARG,"DF,FW",28.0,10.7,1,19,6,31.6,1.78,0.56,0.0,0.0,,1,1,Matches
Raniel,br BRA,FW,21.0,16.2,4,47,15,31.9,2.9,0.93,0.09,0.27,,0,1,Matches
David,br BRA,"FW,MF",22.0,11.2,1,24,8,33.3,2.14,0.71,0.04,0.13,,0,0,Matches
Marcelo Hermes,br BRA,"DF,MF",22.0,10.4,0,5,1,20.0,0.48,0.1,0.0,0.0,,0,0,Matches
Hernán Barcos,ar ARG,FW,33.0,10.3,1,21,9,42.9,2.03,0.87,0.05,0.11,,0,1,Matches
Rafinha,br BRA,MF,34.0,11.3,0,8,5,62.5,0.71,0.44,0.0,0.0,,0,0,Matches
Murilo Cerqueira,br BRA,DF,20.0,8.6,0,7,2,28.6,0.82,0.23,0.0,0.0,,0,0,Matches
Sassá,br BRA,FW,24.0,8.5,2,19,3,15.8,2.25,0.35,0.11,0.67,,0,0,Matches
Rafael Pires,br BRA,GK,28.0,8.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Fred,br BRA,FW,34.0,4.6,3,12,7,58.3,2.61,1.52,0.17,0.29,,1,1,Matches
Patrick,br BRA,"DF,FW",20.0,4.4,0,2,1,50.0,0.46,0.23,0.0,0.0,,0,0,Matches
Cacá,br BRA,DF,18.0,2.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Éderson,br BRA,MF,18.0,2.0,0,1,0,0.0,0.51,0.0,0.0,,,0,0,Matches
Marcelo,br BRA,FW,20.0,0.5,0,1,0,0.0,1.87,0.0,0.0,,,0,0,Matches
Rafael Marques,br BRA,FW,34.0,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Vitinho,br BRA,"DF,MF",18.0,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Rafael Santos,br BRA,DF,19.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Laercio,br BRA,FW,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Alejandro,br BRA,FW,15.0,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,29.0,38.0,32,480,144,30.0,12.63,3.79,0.06,0.19,,5,7,
Opponent Total,,,27.0,38.0,32,411,127,30.9,10.82,3.34,0.07,0.22,,4,5,
