Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Wéverton,br BRA,GK,31.0,31.0,24,7,1,2,0,32.2,0.21,8.2,0.26,154,375,41.1,473,124,50.3,40.7,211,64.9,52.8,405,17,4.2,14,0.45,12.1,Matches
Jailson,br BRA,GK,37.0,4.0,7,0,0,1,0,6.1,0.34,-0.9,-0.23,11,24,45.8,64,18,31.3,31.6,18,22.2,30.9,39,0,0.0,1,0.25,10.3,Matches
Fernando Prass,br BRA,GK,40.0,3.0,1,0,0,0,1,0.4,0.1,0.4,0.13,16,33,48.5,47,11,38.3,35.2,26,57.7,45.9,38,2,5.3,0,0.0,5.3,Matches
Squad Total,,,28.5,38.0,32,7,1,3,1,38.7,0.22,7.7,0.2,181,432,41.9,584,153,47.3,,255,61.2,50.6,482,19,3.9,15,0.39,,
Opponent Total,,,27.5,38.0,61,5,0,6,0,60.4,0.27,-0.6,-0.02,190,498,38.2,757,157,39.8,35.3,341,57.8,44.5,549,25,4.6,25,0.66,11.9,
