Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-10-05,16:30,Série A,Matchweek 29,Sat,Away,D,0,0,RB Bragantino,1.4,0.8,58,9989.0,Gustavo Gómez,4-2-3-1,4-1-4-1,Braulio Machado,Match Report,
2024-10-20,20:00,Série A,Matchweek 30,Sun,Away,W,5,3,Juventude,2.6,2.1,48,10102.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Alex Gomes Stefano,Match Report,
2024-10-26,16:30,Série A,Matchweek 31,Sat,Home,D,2,2,Fortaleza,3.7,0.9,59,40321.0,Gustavo Gómez,4-2-3-1,3-1-4-2,Ramon Abatti,Match Report,
2024-11-04,20:00,Série A,Matchweek 32,Mon,Away,L,0,2,Corinthians,1.0,0.8,59,46085.0,Gustavo Gómez,4-2-3-1,3-4-1-2,Wilton Sampaio,Match Report,
2024-11-08,21:30,Série A,Matchweek 33,Fri,Home,W,1,0,Grêmio,2.8,0.6,61,33670.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2024-11-20,18:00,Série A,Matchweek 34,Wed,Away,W,2,1,Bahia,0.5,1.8,43,36445.0,Marcos Rocha,4-2-3-1,4-3-3,Wagner do Nascimento Magalhães,Match Report,
2024-11-23,19:30,Série A,Matchweek 35,Sat,Away,W,1,0,Atl Goianiense,1.1,0.2,45,11216.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Jonathan Benkenstein Pinheiro,Match Report,
2024-11-26,21:30,Série A,Matchweek 36,Tue,Home,L,1,3,Botafogo (RJ),1.5,1.6,55,31753.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2024-12-04,21:30,Série A,Matchweek 37,Wed,Away,W,2,1,Cruzeiro,2.8,0.7,54,,Raphael Veiga,4-2-3-1,4-3-2-1,Anderson Daronco,Match Report,
2024-12-08,16:00,Série A,Matchweek 38,Sun,Home,L,0,1,Fluminense,0.4,0.9,57,34571.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Ramon Abatti,Match Report,
