Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Palmeiras,38,24,8,6,62,32,30,80,2.11,32467,Gabriel Jesus - 12,Jailson,→ Copa Libertadores via league finish
2,Santos,38,22,5,11,59,35,24,71,1.87,11809,Ricardo Oliveira - 11,Vanderlei,→ Copa Libertadores via league finish
3,Flamengo,38,20,11,7,52,35,17,71,1.87,26424,Paolo Guerrero - 9,Alex Muralha,→ Copa Libertadores via league finish
