Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Fernando Prass,br BRA,GK,38.0,33,33,2970,33.0,42,1.27,125,91,72.0,15,5,13,8,24.2,8,7,1,0,12.5,Matches
Jailson,br BRA,GK,35.0,5,5,450,5.0,3,0.6,15,13,80.0,4,1,0,3,60.0,1,0,1,0,100.0,Matches
Squad Total,,,28.3,38,38,3420,38.0,45,1.18,140,104,72.9,19,6,13,11,28.9,9,7,2,0,22.2,
Opponent Total,,,26.7,38,38,3420,38.0,61,1.61,165,110,65.5,13,6,19,10,26.3,8,4,2,2,33.3,
