Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Wéverton,br BRA,GK,32.0,30,2700.0,90.0,78.9,30.0,30,90.0,30.0,0,,0,1.77,45.0,26.0,19.0,0.63,1.26,42.5,29.7,12.8,0.43,0.34,Matches
Gabriel Menino,br BRA,"MF,DF",19.0,27,1962.0,73.0,57.4,21.8,24,77.0,13.0,3,38.0,0,1.74,30.0,16.0,14.0,0.64,0.64,28.1,19.4,8.7,0.4,0.11,Matches
Matías Viña,uy URU,DF,22.0,23,1932.0,84.0,56.5,21.5,23,84.0,17.0,0,,3,1.74,35.0,17.0,18.0,0.84,1.08,31.3,20.8,10.4,0.49,0.3,Matches
Lucas Lima,br BRA,"MF,FW",29.0,32,1893.0,59.0,55.4,21.0,23,74.0,5.0,9,22.0,2,1.41,26.0,20.0,6.0,0.29,-0.19,28.0,21.8,6.3,0.3,-0.13,Matches
Luan Garcia,br BRA,DF,26.0,26,2010.0,77.0,58.8,22.3,22,90.0,21.0,4,10.0,4,1.73,30.0,21.0,9.0,0.4,0.08,31.5,22.5,9.0,0.4,0.11,Matches
Patrick de Paula,br BRA,MF,20.0,27,1860.0,69.0,54.4,20.7,22,78.0,11.0,5,29.0,3,1.56,24.0,22.0,2.0,0.1,-0.6,25.7,20.7,5.0,0.24,-0.25,Matches
Gustavo Gómez,py PAR,DF,26.0,21,1844.0,88.0,53.9,20.5,21,88.0,19.0,0,,2,1.76,30.0,17.0,13.0,0.63,0.58,27.8,17.3,10.5,0.51,0.34,Matches
Zé Rafael,br BRA,MF,26.0,26,1662.0,64.0,48.6,18.5,21,73.0,7.0,5,25.0,1,1.5,30.0,17.0,13.0,0.7,0.65,28.5,17.6,10.9,0.59,0.46,Matches
Luiz Adriano,br BRA,FW,32.0,24,1538.0,64.0,45.0,17.1,19,74.0,6.0,5,26.0,0,1.5,25.0,19.0,6.0,0.35,-0.03,22.4,15.9,6.5,0.38,0.04,Matches
Raphael Veiga,br BRA,MF,24.0,26,1534.0,59.0,44.9,17.0,19,73.0,4.0,7,21.0,4,1.65,27.0,15.0,12.0,0.7,0.61,23.2,19.5,3.7,0.21,-0.25,Matches
Willian,br BRA,"FW,MF",33.0,32,1758.0,55.0,51.4,19.5,18,74.0,6.0,14,30.0,1,1.66,29.0,15.0,14.0,0.72,0.72,29.8,23.4,6.4,0.33,-0.05,Matches
Marcos Rocha,br BRA,DF,31.0,22,1543.0,70.0,45.1,17.1,18,81.0,13.0,4,19.0,1,1.41,17.0,17.0,0.0,0.0,-0.67,19.2,16.6,2.6,0.15,-0.37,Matches
Mayke,br BRA,DF,27.0,21,1319.0,63.0,38.6,14.7,16,75.0,9.0,5,24.0,12,1.43,22.0,20.0,2.0,0.14,-0.38,21.6,17.1,4.5,0.3,-0.08,Matches
Rony,br BRA,"FW,MF",24.0,23,1288.0,56.0,37.7,14.3,15,69.0,2.0,8,31.0,4,1.83,19.0,10.0,9.0,0.63,0.42,19.0,12.7,6.3,0.44,0.14,Matches
Felipe Melo,br BRA,"DF,MF",36.0,15,1119.0,75.0,32.7,12.4,13,84.0,10.0,2,13.0,3,1.4,17.0,14.0,3.0,0.24,-0.19,18.2,14.8,3.4,0.27,-0.12,Matches
Gustavo Scarpa,br BRA,"MF,FW",26.0,26,1168.0,45.0,34.2,13.0,10,84.0,7.0,16,21.0,9,1.54,19.0,15.0,4.0,0.31,-0.09,20.6,16.3,4.3,0.33,-0.04,Matches
Emerson Santos,br BRA,"DF,MF",24.0,12,863.0,72.0,25.2,9.6,10,83.0,8.0,2,15.0,16,1.75,14.0,8.0,6.0,0.63,0.34,15.6,10.6,5.0,0.52,0.22,Matches
Breno,br BRA,"FW,MF",24.0,18,975.0,54.0,28.5,10.8,9,83.0,6.0,9,25.0,0,1.5,13.0,11.0,2.0,0.18,-0.26,15.0,12.5,2.4,0.23,-0.18,Matches
Wesley,br BRA,"FW,MF",20.0,15,760.0,51.0,22.2,8.4,9,70.0,1.0,6,22.0,6,1.4,14.0,8.0,6.0,0.71,0.44,14.4,9.2,5.2,0.61,0.33,Matches
Danilo,br BRA,MF,18.0,18,908.0,50.0,26.5,10.1,8,83.0,4.0,10,25.0,4,1.61,14.0,9.0,5.0,0.5,0.17,13.9,11.1,2.8,0.28,-0.1,Matches
Gabriel Veron,br BRA,"FW,MF",17.0,20,878.0,44.0,25.7,9.8,8,68.0,3.0,12,28.0,1,1.45,13.0,13.0,0.0,0.0,-0.5,16.0,11.4,4.6,0.47,0.16,Matches
Benjamín Kuscevic,cl CHI,DF,23.0,11,766.0,70.0,22.4,8.5,8,87.0,7.0,3,25.0,5,1.45,12.0,7.0,5.0,0.59,0.28,11.8,8.4,3.4,0.4,0.06,Matches
Renan Victor,br BRA,DF,17.0,8,720.0,90.0,21.1,8.0,8,90.0,8.0,0,,17,1.0,8.0,9.0,-1.0,-0.12,-0.62,9.8,7.8,2.0,0.25,-0.13,Matches
Alan Empereur,br BRA,DF,25.0,10,695.0,70.0,20.3,7.7,7,86.0,4.0,3,31.0,5,1.6,7.0,7.0,0.0,0.0,-0.46,12.0,8.5,3.5,0.45,0.13,Matches
Bruno Henrique,br BRA,MF,30.0,13,628.0,48.0,18.4,7.0,7,68.0,0.0,6,26.0,0,1.69,7.0,6.0,1.0,0.14,-0.28,7.0,7.0,0.0,0.01,-0.43,Matches
Lucas Esteves,br BRA,"DF,FW",19.0,10,606.0,61.0,17.7,6.7,7,73.0,3.0,3,31.0,13,0.8,5.0,8.0,-3.0,-0.45,-0.99,6.5,6.2,0.3,0.04,-0.38,Matches
Jailson,br BRA,GK,38.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,25,0.83,6.0,8.0,-2.0,-0.33,-0.83,8.3,6.8,1.5,0.25,-0.13,Matches
Ramires,br BRA,MF,32.0,16,557.0,35.0,16.3,6.2,4,65.0,1.0,12,25.0,5,1.5,10.0,8.0,2.0,0.32,-0.05,9.8,6.4,3.3,0.54,0.22,Matches
Gabriel Vieira,br BRA,"FW,MF",17.0,13,372.0,29.0,10.9,4.1,3,69.0,0.0,10,17.0,13,1.46,3.0,5.0,-2.0,-0.48,-0.96,6.9,4.3,2.6,0.64,0.32,Matches
Diogo Barbosa,br BRA,DF,27.0,5,322.0,64.0,9.4,3.6,3,90.0,3.0,2,26.0,3,1.8,5.0,3.0,2.0,0.56,0.21,4.7,2.6,2.1,0.59,0.26,Matches
Vitor Hugo,br BRA,DF,28.0,4,274.0,69.0,8.0,3.0,3,90.0,3.0,1,4.0,7,1.5,5.0,5.0,0.0,0.0,-0.4,3.7,2.7,0.9,0.31,-0.05,Matches
Vinicius Silvestre,br BRA,GK,25.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,27,0.0,0.0,3.0,-3.0,-1.5,-1.97,1.7,2.5,-0.8,-0.4,-0.8,Matches
Vanderlan,br BRA,DF,17.0,2,123.0,62.0,3.6,1.4,1,90.0,1.0,1,33.0,5,0.5,0.0,2.0,-2.0,-1.46,-1.9,1.1,2.3,-1.2,-0.86,-1.26,Matches
Marcelinho,br BRA,FW,17.0,2,65.0,33.0,1.9,0.7,1,44.0,0.0,1,21.0,6,0.0,0.0,2.0,-2.0,-2.77,-3.2,0.5,1.5,-1.0,-1.33,-1.71,Matches
Fabrício Biato,br BRA,FW,18.0,3,107.0,36.0,3.1,1.2,0,,0.0,3,36.0,3,0.33,0.0,0.0,0.0,0.0,-0.38,0.4,0.6,-0.3,-0.23,-0.6,Matches
Pedro Acacio,br BRA,"MF,DF",17.0,3,37.0,12.0,1.1,0.4,0,,0.0,3,12.0,6,1.0,0.0,1.0,-1.0,-2.43,-2.83,0.0,0.2,-0.2,-0.53,-0.9,Matches
Iván Angulo,co COL,"FW,MF",20.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Pedro Bicalho,br BRA,MF,18.0,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
Ramon Cirino,br BRA,MF,17.0,0,,,,,0,,,0,,4,,,,,,,,,,,,Matches
Caio Cunha,br BRA,MF,18.0,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
Helder,br BRA,DF,19.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Henri,br BRA,DF,17.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
Marino Hinestroza,co COL,MF,17.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Adriano Juninho,br BRA,MF,18.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Leandro Matheus,br BRA,GK,19.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Mateus Oliveira,,MF,17.0,0,,,,,0,,,0,,5,,,,,,,,,,,,Matches
Jean Quiñonez,ec ECU,FW,18.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Ramón Ricardo,br BRA,DF,18.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Robinho,br BRA,MF,15.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Anibal Vega,py PAR,FW,19.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Vitinho,br BRA,MF,17.0,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
Squad Total,,,26.4,38,3420.0,90.0,100.0,38.0,418,80.0,240.0,174,24.0,245,1.53,51.0,37.0,14.0,0.37,,52.6,39.1,13.5,0.36,,
Opponent Total,,,26.3,38,3420.0,90.0,100.0,38.0,418,80.0,245.0,168,24.0,260,1.13,37.0,51.0,-14.0,-0.37,,39.1,52.6,-13.5,-0.36,,
