Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Lucas Freitas,br BRA,DF,20.0,2.0,81,17,50,31,1,0,81,0,0,,0,,37,167,99,0,0,0,1,0,38,0,Matches
Vitor Hugo,br BRA,FW,17.0,2.0,75,7,26,29,21,6,75,1,1,100.0,0,0.0,26,161,96,2,1,0,4,1,38,4,Matches
Alan Empereur,br BRA,DF,26.0,1.0,30,1,16,11,3,1,30,0,0,,0,,23,88,46,1,1,0,0,0,23,0,Matches
Kevin,br BRA,FW,18.0,0.8,30,0,2,10,18,3,30,1,0,0.0,1,100.0,15,82,46,0,1,0,3,1,21,5,Matches
Pedro Bicalho,br BRA,"MF,DF",19.0,0.4,18,4,9,7,2,0,18,1,1,100.0,0,0.0,3,10,8,0,0,0,0,0,3,0,Matches
Jhonatan Jowjow,br BRA,FW,18.0,0.4,11,0,4,5,2,1,11,2,0,0.0,2,100.0,6,38,18,1,0,1,0,1,8,2,Matches
Lucas Esteves,br BRA,FW,20.0,0.2,14,0,2,2,10,1,14,0,0,,0,,8,31,9,0,1,0,1,1,7,1,Matches
Yago Andrade,br BRA,FW,17.0,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Sena,br BRA,DF,19.0,0.0,2,2,2,0,0,0,2,0,0,,0,,1,2,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,38.0,21585,2223,6819,10154,4867,736,21580,600,349,58.2,252,42.0,13042,70030,36705,694,514,160,529,258,13992,1487,
Opponent Total,,,26.8,38.0,21536,2120,6324,10202,5252,661,21530,640,370,57.8,270,42.2,12231,67086,35950,671,501,134,621,323,14030,1454,
