Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gatito Fernández,py PAR,GK,33.0,32,2809.0,88.0,82.1,31.2,32,88.0,31,0,,1,1.34,31.0,37.0,-6.0,-0.19,-0.78,34.0,42.3,-8.3,-0.27,-0.08,Matches
Víctor Cuesta,ar ARG,DF,33.0,29,2569.0,89.0,75.1,28.5,28,90.0,26,1,55.0,1,1.52,31.0,28.0,3.0,0.11,0.63,30.6,34.6,-4.0,-0.14,0.45,Matches
Tchê Tchê,br BRA,MF,29.0,29,2314.0,80.0,67.7,25.7,28,82.0,17,1,32.0,6,1.34,24.0,30.0,-6.0,-0.23,-0.56,26.2,32.5,-6.3,-0.24,0.03,Matches
Daniel Borges,br BRA,DF,28.0,26,1868.0,72.0,54.6,20.8,22,83.0,13,4,8.0,3,1.38,23.0,23.0,0.0,0.0,0.12,19.0,26.7,-7.7,-0.37,-0.26,Matches
Renzo Saravia,ar ARG,"DF,MF",28.0,25,1814.0,73.0,53.0,20.2,22,80.0,13,3,15.0,3,1.44,18.0,25.0,-7.0,-0.35,-0.63,21.2,30.1,-8.9,-0.44,-0.4,Matches
Victor Sá,br BRA,FW,27.0,27,1832.0,68.0,53.6,20.4,21,78.0,11,6,32.0,0,,25.0,25.0,0.0,0.0,0.11,26.1,25.5,0.6,0.03,0.61,Matches
Lucas Fernandes,br BRA,MF,24.0,24,1677.0,70.0,49.0,18.6,20,77.0,8,4,36.0,1,1.33,18.0,21.0,-3.0,-0.16,-0.21,17.4,27.5,-10.2,-0.55,-0.58,Matches
Jeffinho,br BRA,FW,22.0,24,1604.0,67.0,46.9,17.8,18,81.0,8,6,24.0,2,1.33,20.0,22.0,-2.0,-0.11,-0.11,19.3,23.0,-3.7,-0.21,0.08,Matches
Fernando Marçal,br BRA,DF,32.0,18,1542.0,86.0,45.1,17.1,18,86.0,17,0,,0,1.56,19.0,16.0,3.0,0.18,0.41,19.3,18.6,0.7,0.04,0.54,Matches
Erison,br BRA,FW,22.0,20,1483.0,74.0,43.4,16.5,17,83.0,8,3,24.0,0,1.15,17.0,20.0,-3.0,-0.18,-0.23,16.0,21.4,-5.4,-0.33,-0.13,Matches
Kanu,br BRA,DF,24.0,19,1447.0,76.0,42.3,16.1,16,85.0,13,3,27.0,15,1.21,14.0,21.0,-7.0,-0.44,-0.66,17.1,24.5,-7.4,-0.46,-0.36,Matches
Adryelson,br BRA,DF,23.0,17,1446.0,85.0,42.3,16.1,16,89.0,14,1,26.0,2,1.65,21.0,17.0,4.0,0.25,0.52,18.4,18.1,0.3,0.02,0.46,Matches
Tiquinho Soares,br BRA,FW,31.0,14,1236.0,88.0,36.1,13.7,14,88.0,11,0,,0,1.86,19.0,14.0,5.0,0.36,0.65,15.5,16.1,-0.6,-0.05,0.32,Matches
Philipe Sampaio,br BRA,DF,27.0,16,1126.0,70.0,32.9,12.5,14,80.0,11,2,2.0,11,1.38,10.0,13.0,-3.0,-0.24,-0.28,12.5,16.9,-4.4,-0.35,-0.15,Matches
Luis Oyama,br BRA,MF,25.0,16,1081.0,68.0,31.6,12.0,14,76.0,6,2,9.0,4,0.81,10.0,19.0,-9.0,-0.75,-1.02,13.2,19.0,-5.8,-0.48,-0.34,Matches
Júnior Santos,br BRA,"FW,MF",27.0,15,1071.0,71.0,31.3,11.9,14,76.0,4,1,14.0,1,1.73,13.0,14.0,-1.0,-0.08,-0.05,11.6,13.6,-2.0,-0.17,0.13,Matches
Carlos Eduardo,br BRA,MF,32.0,14,1101.0,79.0,32.2,12.2,13,82.0,8,1,31.0,0,1.43,15.0,10.0,5.0,0.41,0.68,13.9,14.4,-0.5,-0.04,0.32,Matches
Patrick de Paula,br BRA,MF,22.0,18,1019.0,57.0,29.8,11.3,12,75.0,6,6,20.0,10,1.72,14.0,14.0,0.0,0.0,0.07,10.7,16.7,-6.0,-0.53,-0.39,Matches
Hugo,br BRA,"DF,MF",20.0,16,1101.0,69.0,32.2,12.2,10,86.0,8,6,40.0,13,1.19,13.0,15.0,-2.0,-0.16,-0.16,13.2,19.0,-5.8,-0.47,-0.33,Matches
Vinícius,br BRA,FW,22.0,16,870.0,54.0,25.4,9.7,9,80.0,4,7,21.0,6,1.19,10.0,10.0,0.0,0.0,0.07,10.7,14.0,-3.3,-0.35,-0.12,Matches
Lucas Piazon,br BRA,"FW,MF",28.0,17,751.0,44.0,22.0,8.3,8,76.0,2,9,16.0,16,1.53,6.0,9.0,-3.0,-0.36,-0.39,7.0,9.7,-2.7,-0.33,-0.09,Matches
Gabriel,br BRA,MF,28.0,14,746.0,53.0,21.8,8.3,8,76.0,4,6,24.0,1,1.93,14.0,10.0,4.0,0.48,0.68,8.2,9.9,-1.7,-0.2,0.07,Matches
Chayene Santos,br BRA,"MF,FW",31.0,12,582.0,49.0,17.0,6.5,6,74.0,2,6,24.0,2,0.92,5.0,9.0,-4.0,-0.62,-0.68,7.0,7.6,-0.6,-0.1,0.19,Matches
Matheus Nascimento,br BRA,"FW,MF",17.0,23,612.0,27.0,17.9,6.8,4,73.0,1,19,17.0,8,1.13,6.0,4.0,2.0,0.29,0.42,10.2,9.5,0.7,0.1,0.43,Matches
Diego Gonçalves,br BRA,FW,27.0,10,423.0,42.0,12.4,4.7,4,64.0,0,6,28.0,1,,6.0,6.0,0.0,0.0,0.06,6.1,9.3,-3.2,-0.68,-0.48,Matches
