Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2016-05-15,11:00,Série A,Matchweek 1,Sun,Home,L,0,1,São Paulo,67,5465,,4-4-2,4-2-3-1,Braulio da Silva Machado,Match Report,
2016-05-22,18:30,Série A,Matchweek 2,Sun,Away,D,1,1,Sport Recife,44,5218,,4-4-2,4-2-3-1,Vinicius Furlan,Match Report,
2016-05-25,19:30,Série A,Matchweek 3,Wed,Home,W,2,1,Ath Paranaense,35,4445,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-05-29,16:00,Série A,Matchweek 4,Sun,Away,L,0,1,Fluminense,55,4550,,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2016-06-01,21:45,Série A,Matchweek 5,Wed,Home,L,0,1,Cruzeiro,50,7057,,4-4-2,4-2-2-2,Elmo Alves Resende Cunha,Match Report,
2016-06-05,11:00,Série A,Matchweek 6,Sun,Away,L,0,3,Santos,47,16530,,4-4-2,4-2-3-1,Sandro Ricci,Match Report,
2016-06-12,11:00,Série A,Matchweek 7,Sun,Home,D,1,1,Vitória,51,2208,,4-4-2,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2016-06-15,21:00,Série A,Matchweek 8,Wed,Home,W,3,1,América (MG),47,1255,,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,
2016-06-19,16:00,Série A,Matchweek 9,Sun,Away,L,1,3,Corinthians,40,34747,,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2016-06-22,21:00,Série A,Matchweek 10,Wed,Home,D,0,0,Figueirense,65,3012,,4-3-2-1,4-2-3-1,Emerson De Almeida Ferreira,Match Report,
2016-06-26,16:00,Série A,Matchweek 11,Sun,Away,W,3,2,Internacional,38,21562,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2016-06-30,21:00,Série A,Matchweek 12,Thu,Away,L,3,5,Atlético Mineiro,54,36129,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2016-07-03,16:00,Série A,Matchweek 13,Sun,Home,W,2,1,Santa Cruz,46,5423,,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
