Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
3,Atlético Mineiro,19,11,3,5,28,16,12,36,1.89,25.1,18.0,7.1,0.37,19,8,6,5,24,16,8,30,1.58,21.4,23.0,-1.6,-0.08
4,Flamengo,19,10,5,4,26,16,10,35,1.84,27.8,21.8,6.1,0.32,19,9,4,6,30,26,4,31,1.63,22.6,23.5,-0.9,-0.05
5,Botafogo (RJ),19,11,4,4,36,17,19,37,1.95,33.3,19.5,13.8,0.73,19,7,6,6,22,20,2,27,1.42,16.8,29.6,-12.7,-0.67
6,RB Bragantino,19,11,5,3,28,14,14,38,2.0,34.9,17.2,17.7,0.93,19,6,6,7,21,21,0,24,1.26,22.9,25.6,-2.6,-0.14
7,Fluminense,19,13,4,2,33,18,15,43,2.26,28.6,17.9,10.7,0.56,19,3,4,12,18,29,-11,13,0.68,21.4,30.7,-9.4,-0.49
