Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gatito Fernández,py PAR,GK,33.0,31.2,37,4,1,5,0,42.9,0.32,5.9,0.19,124,334,37.1,577,118,40.6,34.6,235,42.6,34.2,444,23,5.2,29,0.93,13.6,Matches
Lucas Perri,br BRA,GK,24.0,3.8,3,0,0,0,1,3.2,0.27,1.2,0.31,23,64,35.9,84,15,53.6,42.5,31,61.3,47.1,61,8,13.1,1,0.26,9.0,Matches
Diego,br BRA,GK,23.0,2.0,2,0,0,0,0,0.5,0.08,-1.5,-0.76,7,28,25.0,35,5,51.4,35.7,21,47.6,36.4,26,0,0.0,3,1.5,21.8,Matches
Douglas Borges,br BRA,GK,31.0,1.0,1,0,0,0,0,0.9,0.45,-0.1,-0.1,4,9,44.4,18,5,33.3,30.1,7,42.9,39.6,14,1,7.1,1,1.0,12.3,Matches
Squad Total,,,27.5,38.0,43,4,1,5,1,47.5,0.31,5.5,0.14,158,435,36.3,713,143,42.5,,295,44.7,35.9,545,32,5.9,34,0.89,,
Opponent Total,,,27.5,38.0,41,4,1,6,1,44.3,0.24,4.3,0.11,133,383,34.7,770,156,36.1,34.2,292,36.0,34.8,511,24,4.7,23,0.61,12.9,
