Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gatito Fernández,py PAR,GK,28.0,31,31,2790,31.0,36,1.16,107,78,69.2,12,8,11,10,32.3,7,3,4,0,57.1,Matches
Jefferson,br BRA,GK,34.0,6,6,540,6.0,5,0.83,21,17,76.2,2,3,1,2,33.3,1,0,1,0,100.0,Matches
Helton Leite,br BRA,GK,26.0,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,26.6,38,38,3420,38.0,42,1.11,131,97,70.2,14,11,13,12,31.6,8,3,5,0,62.5,
Opponent Total,,,26.8,38,38,3420,38.0,45,1.18,140,98,69.3,13,11,14,12,31.6,4,2,1,1,33.3,
