Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Marcelo,br BRA,DF,20.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Bochecha,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Matheus Fernandes,br BRA,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Renan Gorne,br BRA,FW,19.0,0,0,,,,,,,,,,,,,,,,Matches
Victor Lindemberg,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Damián Lizio,bo BOL,"FW,MF",26.0,0,0,,,,,,,,,,,,,,,,Matches
Geovane Maranhão,br BRA,FW,26.0,0,0,,,,,,,,,,,,,,,,Matches
Marcinho,br BRA,"DF,MF",19.0,0,0,,,,,,,,,,,,,,,,Matches
Saulo,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches
Yuri,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.6,38,418,3420.0,38.0,43.0,31.0,74.0,38.0,5.0,6.0,95.0,2.0,1.13,0.82,1.95,1.0,1.82,
Opponent Total,,,26.5,38,418,3420.0,38.0,38.0,31.0,69.0,38.0,0.0,2.0,86.0,2.0,1.0,0.82,1.82,1.0,1.82,
