Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Leandro Carvalho,br BRA,"FW,MF",22.0,1,63.0,63.0,1.8,0.7,1,63.0,0.0,0,,0,1.0,0.0,1.0,-1.0,-1.43,-1.24,Matches
Marcelo Santos,br BRA,MF,23.0,4,118.0,30.0,3.5,1.3,0,,0.0,4,29.0,9,1.0,1.0,6.0,-5.0,-3.81,-3.73,Matches
Pachu,br BRA,FW,21.0,1,45.0,45.0,1.3,0.5,0,,0.0,1,45.0,3,1.0,1.0,1.0,0.0,0.0,0.21,Matches
João Paulo Mior,br BRA,MF,26.0,2,43.0,22.0,1.3,0.5,0,,0.0,2,21.0,0,1.5,1.0,0.0,1.0,2.09,2.33,Matches
Leandrinho,br BRA,MF,21.0,1,30.0,30.0,0.9,0.3,0,,0.0,1,29.0,10,0.0,0.0,0.0,0.0,0.0,0.21,Matches
Andrew,br BRA,GK,16.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Lucas Campos,br BRA,FW,20.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Igor Cássio,br BRA,FW,19.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Helerson,br BRA,DF,20.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Jonathan,br BRA,DF,19.0,0,,,,,0,,0.0,0,,6,,,,,,,Matches
Kanu,br BRA,DF,20.0,0,,,,,0,,0.0,0,,5,,,,,,,Matches
Rickson,br BRA,MF,19.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Rhuan Silveira,br BRA,FW,18.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Wenderson,br BRA,MF,19.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Squad Total,,,25.5,38,3420.0,90.0,100.0,38.0,418,84.0,,114,21.0,304,1.34,38.0,46.0,-8.0,-0.21,,
Opponent Total,,,27.3,38,3420.0,90.0,100.0,38.0,418,84.0,,114,25.0,313,1.34,46.0,38.0,8.0,0.21,,
