Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
8,Corinthians,38,14,14,10,42,34,8,56,1.47,42.4,42.8,-0.5,-0.01,32894,Mauro Boselli - 7,Cássio,→ Copa Libertadores via league finish
9,Fortaleza,38,15,8,15,50,49,1,53,1.39,50.0,62.1,-12.0,-0.32,33661,Wellington Paulista - 13,Felipe Alves Raymundo,→ Copa Sudamericana via league finish
10,Goiás,38,15,7,16,46,64,-18,52,1.37,47.2,63.4,-16.2,-0.43,14935,"Rafael Moura, Michael - 9",Tadeu,→ Copa Sudamericana via league finish
11,Bahia,38,12,13,13,44,43,1,49,1.29,51.7,47.4,4.3,0.11,26674,Gilberto - 14,Douglas Friedrich,→ Copa Sudamericana via league finish
12,Vasco da Gama,38,12,13,13,39,45,-6,49,1.29,56.7,53.7,2.9,0.08,21092,Yago Pikachu - 5,Fernando Miguel,→ Copa Sudamericana via league finish
