Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Da Silva,br BRA,DF,20.0,7.0,568.0,81.0,16.6,6.3,6.0,83.0,5.0,1.0,73.0,6,0.57,5.0,11.0,-6.0,-0.95,-0.73,6.0,10.9,-4.9,-0.77,-0.07,Matches
Sidimar,br BRA,DF,29.0,5.0,450.0,90.0,13.2,5.0,5.0,90.0,5.0,0.0,,6,2.0,5.0,3.0,2.0,0.4,0.85,6.0,6.5,-0.5,-0.1,0.7,Matches
Sidnei,br BRA,DF,32.0,4.0,294.0,74.0,8.6,3.3,4.0,74.0,2.0,0.0,,4,1.0,3.0,5.0,-2.0,-0.61,-0.3,2.4,5.9,-3.5,-1.09,-0.41,Matches
Renato Junior,br BRA,"FW,MF",19.0,17.0,496.0,29.0,14.5,5.5,3.0,72.0,1.0,14.0,20.0,15,0.94,9.0,13.0,-4.0,-0.73,-0.45,5.8,8.9,-3.0,-0.55,0.19,Matches
Juan Pablo,br BRA,"DF,MF",19.0,4.0,172.0,43.0,5.0,1.9,3.0,57.0,0.0,1.0,1.0,8,2.25,0.0,1.0,-1.0,-0.52,-0.19,0.9,4.1,-3.2,-1.68,-1.02,Matches
Henrique Lordelo,br BRA,"MF,DF",21.0,5.0,123.0,25.0,3.6,1.4,2.0,47.0,0.0,3.0,10.0,14,1.4,2.0,4.0,-2.0,-1.46,-1.16,0.9,2.6,-1.7,-1.22,-0.53,Matches
Danilo Cardoso,br BRA,DF,24.0,5.0,238.0,48.0,7.0,2.6,1.0,90.0,1.0,4.0,37.0,11,2.2,4.0,4.0,0.0,0.0,0.37,2.6,5.4,-2.9,-1.09,-0.4,Matches
Douglas Pelé,br BRA,"FW,DF",22.0,2.0,90.0,45.0,2.6,1.0,1.0,45.0,0.0,1.0,45.0,5,1.5,2.0,3.0,-1.0,-1.0,-0.68,0.8,1.4,-0.6,-0.62,0.09,Matches
Matheusinho,br BRA,MF,23.0,1.0,8.0,8.0,0.2,0.1,1.0,8.0,0.0,0.0,,4,3.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.71,Matches
Pedrinho Junqueira,br BRA,"MF,FW",17.0,14.0,320.0,23.0,9.4,3.6,0.0,,0.0,14.0,23.0,10,,8.0,4.0,4.0,1.13,1.62,5.7,4.7,1.0,0.29,1.11,Matches
Luan,br BRA,MF,31.0,2.0,48.0,24.0,1.4,0.5,0.0,,0.0,2.0,24.0,1,0.5,3.0,0.0,3.0,5.63,6.05,2.3,0.2,2.1,4.0,4.78,Matches
Luiz Filipe,br BRA,"MF,FW",20.0,2.0,32.0,16.0,0.9,0.4,0.0,,0.0,2.0,16.0,1,0.0,1.0,1.0,0.0,0.0,0.35,1.4,0.8,0.6,1.65,2.38,Matches
Nathan Melo,br BRA,MF,20.0,1.0,3.0,3.0,0.1,0.0,0.0,,0.0,1.0,3.0,9,0.0,0.0,1.0,-1.0,-30.0,-29.68,0.1,0.3,-0.2,-6.14,-5.43,Matches
Vitor Hugo,br BRA,FW,17.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.71,Matches
Marco Antônio,br BRA,MF,21.0,0.0,,,,,0.0,,0.0,0.0,,7,,,,,,,,,,,,Matches
Danilo Batista,br BRA,MF,19.0,0.0,,,,,0.0,,0.0,0.0,,2,,,,,,,,,,,,Matches
Breno Herculano,br BRA,FW,22.0,0.0,,,,,0.0,,0.0,0.0,,5,,,,,,,,,,,,Matches
Lincon,br BRA,MF,19.0,0.0,,,,,0.0,,0.0,0.0,,1,,,,,,,,,,,,Matches
Marcio,ma MAR,MF,,0.0,,,,,0.0,,0.0,0.0,,1,,,,,,,,,,,,Matches
Matheus,br BRA,GK,27.0,0.0,,,,,0.0,,0.0,0.0,,28,,,,,,,,,,,,Matches
Marcelo Rangel,br BRA,GK,33.0,0.0,,,,,0.0,,0.0,0.0,,13,,,,,,,,,,,,Matches
Reginaldo,br BRA,FW,18.0,0.0,,,,,0.0,,0.0,0.0,,1,,,,,,,,,,,,Matches
Pedro Bahia,br BRA,MF,19.0,,,,,,,,,,,2,,,,,,,,,,,,Matches
Squad Total,,,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,80.0,239.0,178.0,22.0,230,1.21,40.0,53.0,-13.0,-0.34,,34.6,61.6,-27.0,-0.71,,
Opponent Total,,,27.3,38.0,3420.0,90.0,100.0,38.0,418.0,80.0,237.0,177.0,21.0,270,1.45,53.0,40.0,13.0,0.34,,61.6,34.6,27.0,0.71,,
