Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2015-05-10,18:30,Série A,Matchweek 1,Sun,Away,D,0,0,Vasco da Gama,38.0,7424.0,,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2015-05-16,18:30,Série A,Matchweek 2,Sat,Home,W,2,0,Ath Paranaense,41.0,100.0,,4-3-1-2,4-2-3-1,Heber Roberto Lopes,Match Report,
2015-05-24,11:00,Série A,Matchweek 3,Sun,Away,W,1,0,Palmeiras,34.0,37337.0,,4-3-1-2,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2015-05-31,16:00,Série A,Matchweek 4,Sun,Home,D,1,1,Grêmio,41.0,4511.0,,4-3-1-2,4-2-3-1,Anderson Daronco,Match Report,
2015-06-04,21:00,Série A,Matchweek 5,Thu,Away,L,0,1,Sport Recife,36.0,12285.0,,4-3-1-2,4-2-3-1,Flavio Rodrigues Guerra,Match Report,
2015-06-07,19:30,Série A,Matchweek 6,Sun,Home,L,0,1,Avaí,55.0,1461.0,,4-2-3-1,3-4-1-2,Alisson Sidnei Furtado,Match Report,
2015-06-14,11:00,Série A,Matchweek 7,Sun,Away,D,0,0,Ponte Preta,45.0,9880.0,,4-3-1-2,4-2-3-1,Pablo Dos Santos Alves,Match Report,
2015-06-21,16:00,Série A,Matchweek 8,Sun,Away,L,1,2,Joinville,51.0,9094.0,,4-4-2,4-2-3-1,Igor Junior Benevenuto,Match Report,
2015-06-28,16:00,Série A,Matchweek 9,Sun,Home,L,1,2,Fluminense,46.0,3053.0,,4-2-2-2,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2015-07-02,19:30,Série A,Matchweek 10,Thu,Away,L,1,3,Figueirense,54.0,5715.0,,4-3-1-2,4-3-1-2,Wilton Sampaio,Match Report,
2015-07-05,16:00,Série A,Matchweek 11,Sun,Home,D,0,0,Corinthians,39.0,9579.0,,4-2-2-2,4-2-3-1,Heber Roberto Lopes,Match Report,
2015-07-08,19:30,Série A,Matchweek 12,Wed,Home,W,4,1,Santos,41.0,1829.0,,4-3-1-2,4-2-3-1,Anderson Daronco,Match Report,
2015-07-12,16:00,Série A,Matchweek 13,Sun,Away,L,0,1,Cruzeiro,37.0,10675.0,,4-3-1-2,4-2-3-1,Emerson Luiz Sobral,Match Report,
2015-07-18,18:30,Série A,Matchweek 14,Sat,Away,L,1,2,Internacional,37.0,16782.0,,4-3-1-2,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2015-07-26,16:00,Série A,Matchweek 15,Sun,Home,L,0,1,Flamengo,44.0,11450.0,,4-3-1-2,4-2-3-1,Heber Roberto Lopes,Match Report,
2015-08-02,11:00,Série A,Matchweek 16,Sun,Away,D,1,1,Coritiba,46.0,24593.0,,4-1-2-1-2◆,4-4-1-1,Dewson Fernando Freitas da Silva,Match Report,
2015-08-09,16:00,Série A,Matchweek 17,Sun,Home,D,0,0,Atlético Mineiro,38.0,7762.0,,4-2-2-2,4-2-3-1,Raphael Claus,Match Report,
2015-08-12,21:00,Série A,Matchweek 18,Wed,Home,D,0,0,Chapecoense,59.0,1619.0,,4-2-3-1,4-3-2-1,Wagner do Nascimento Magalhaes,Match Report,
2015-08-15,21:00,Série A,Matchweek 19,Sat,Away,W,3,0,São Paulo,38.0,25452.0,,4-3-1-2,3-4-1-2,Marielson Alves Silva,Match Report,
2015-08-18,21:15,Sudamericana,Second stage,Tue,Away,D,0,0,br Brasilia,,,,,,Leonel Sánchez,Match Report,Leg 1 of 2
2015-08-22,18:30,Série A,Matchweek 20,Sat,Home,W,3,0,Vasco da Gama,51.0,12154.0,,4-3-2-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2015-08-25,21:15,Sudamericana,Second stage,Tue,Home,L,0,2,br Brasilia,,,,,,Mario Díaz de Vivar,Match Report,Leg 2 of 2; Brasilia won
2015-08-30,18:30,Série A,Matchweek 21,Sun,Away,L,0,3,Ath Paranaense,39.0,14348.0,,4-3-3,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2015-09-02,22:00,Série A,Matchweek 22,Wed,Home,W,1,0,Palmeiras,44.0,15142.0,,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2015-09-06,16:00,Série A,Matchweek 23,Sun,Away,L,1,2,Grêmio,32.0,29184.0,,4-3-2-1,4-2-3-1,Sandro Ricci,Match Report,
2015-09-10,19:30,Série A,Matchweek 24,Thu,Home,W,1,0,Sport Recife,42.0,2189.0,,4-3-2-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,
2015-09-13,18:30,Série A,Matchweek 25,Sun,Away,L,1,2,Avaí,40.0,4767.0,,4-4-2,4-2-2-2,Bruno Arleu de Araujo,Match Report,
2015-09-16,19:30,Série A,Matchweek 26,Wed,Home,L,1,2,Ponte Preta,52.0,2322.0,,4-3-2-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2015-09-20,11:00,Série A,Matchweek 27,Sun,Home,W,3,0,Joinville,43.0,3961.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2015-09-26,18:30,Série A,Matchweek 28,Sat,Away,L,0,2,Fluminense,51.0,11725.0,,4-3-2-1,4-2-3-1,Marielson Alves Silva,Match Report,
2015-10-04,16:00,Série A,Matchweek 29,Sun,Home,L,2,3,Figueirense,50.0,3117.0,,4-2-3-1,4-3-1-2,Ricardo Marques Ribeiro,Match Report,
2015-10-15,19:30,Série A,Matchweek 30,Thu,Away,L,0,3,Corinthians,40.0,40925.0,,4-4-2,4-1-4-1,Wagner Reway,Match Report,
2015-10-18,17:00,Série A,Matchweek 31,Sun,Away,L,1,3,Santos,43.0,6198.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2015-10-25,18:00,Série A,Matchweek 32,Sun,Home,L,0,1,Cruzeiro,50.0,13101.0,,4-2-3-1,4-3-3,Nielson Nogueira Dias,Match Report,
2015-11-01,19:30,Série A,Matchweek 33,Sun,Home,W,2,1,Internacional,43.0,6881.0,,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2015-11-08,17:00,Série A,Matchweek 34,Sun,Away,L,1,4,Flamengo,41.0,15421.0,,4-2-3-1,4-1-4-1,Luiz Flávio de Oliveira,Match Report,
2015-11-18,19:30,Série A,Matchweek 35,Wed,Home,L,1,3,Coritiba,57.0,16896.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
