Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Tadeu,br BRA,GK,26.0,36.6,59,3,0,8,1,65.9,0.32,7.9,0.22,152,481,31.6,608,96,49.7,40.6,303,59.1,47.4,610,19,3.1,21,0.57,11.2,Matches
Marcelo Rangel,br BRA,GK,30.0,1.0,3,0,0,1,0,3.1,0.31,0.1,0.14,4,7,57.1,11,4,27.3,34.5,5,80.0,55.2,22,0,0.0,2,2.0,17.8,Matches
Marcos de Paula Dutra,br BRA,GK,25.0,0.4,2,0,0,0,0,1.1,0.36,-0.9,-2.53,4,9,44.4,8,1,75.0,51.5,3,100.0,62.0,9,0,0.0,0,0.0,12.0,Matches
Squad Total,,,26.4,38.0,64,3,0,9,1,70.1,0.32,7.1,0.19,160,497,32.2,624,101,49.4,,314,60.2,47.8,641,19,3.0,23,0.61,,
Opponent Total,,,27.3,38.0,46,4,3,5,2,49.0,0.32,5.0,0.13,158,409,38.6,727,153,34.3,34.2,342,46.8,39.8,612,23,3.8,33,0.87,14.7,
