Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Renan Brito Soares,br BRA,GK,29.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,0,1.23,37.0,37.0,0.0,0.0,0.67,Matches
Jackson de Souza,br BRA,DF,23.0,34,3055.0,90.0,89.3,33.9,34,90.0,32.0,0,,0,1.29,34.0,35.0,-1.0,-0.03,0.22,Matches
Thiago Mendes,br BRA,"DF,MF",21.0,34,3028.0,89.0,88.5,33.6,34,89.0,30.0,0,,0,1.24,31.0,35.0,-4.0,-0.12,-0.58,Matches
David,br BRA,MF,31.0,34,2870.0,84.0,83.9,31.9,34,84.0,27.0,0,,0,1.35,36.0,34.0,2.0,0.06,0.72,Matches
Amaral,br BRA,MF,27.0,31,2745.0,89.0,80.3,30.5,30,90.0,30.0,1,45.0,0,1.1,27.0,31.0,-4.0,-0.13,-0.4,Matches
Erik Lima,br BRA,"FW,MF",19.0,34,2416.0,71.0,70.6,26.8,25,85.0,15.0,9,32.0,1,1.15,30.0,33.0,-3.0,-0.11,-0.2,Matches
Pedrão,br BRA,DF,21.0,23,2070.0,90.0,60.5,23.0,23,90.0,23.0,0,,6,1.26,26.0,24.0,2.0,0.09,0.35,Matches
Ramón,br BRA,MF,30.0,33,1942.0,59.0,56.8,21.6,23,75.0,8.0,10,21.0,1,1.33,24.0,18.0,6.0,0.28,0.77,Matches
Esquerdinha,br BRA,MF,24.0,29,1872.0,65.0,54.7,20.8,21,80.0,9.0,8,23.0,4,1.14,25.0,25.0,0.0,0.0,0.12,Matches
Tiago Real,br BRA,MF,25.0,31,1866.0,60.0,54.6,20.7,20,81.0,12.0,11,23.0,3,1.42,20.0,20.0,0.0,0.0,0.12,Matches
Felipe Macedo,br BRA,DF,19.0,18,1486.0,83.0,43.5,16.5,17,85.0,13.0,1,33.0,12,1.17,14.0,17.0,-3.0,-0.18,-0.23,Matches
Lucas Lima,br BRA,DF,22.0,21,1518.0,72.0,44.4,16.9,15,88.0,14.0,6,33.0,14,0.86,10.0,19.0,-9.0,-0.53,-0.86,Matches
Samuel,br BRA,FW,22.0,20,1276.0,64.0,37.3,14.2,13,83.0,7.0,7,29.0,0,1.05,13.0,20.0,-7.0,-0.49,-0.7,Matches
Léo Veloso,br BRA,DF,26.0,11,945.0,86.0,27.6,10.5,11,86.0,10.0,0,,6,1.55,16.0,9.0,7.0,0.67,0.99,Matches
Valmir Lucas,br BRA,DF,25.0,10,736.0,74.0,21.5,8.2,9,82.0,7.0,1,0.0,3,1.1,6.0,10.0,-4.0,-0.49,-0.56,Matches
Moisés Dallazen,br BRA,"DF,MF",23.0,12,718.0,60.0,21.0,8.0,9,71.0,3.0,3,27.0,4,1.0,11.0,9.0,2.0,0.25,0.38,Matches
Felipe Saturnino,br BRA,DF,18.0,9,640.0,71.0,18.7,7.1,8,77.0,4.0,1,24.0,1,1.11,7.0,8.0,-1.0,-0.14,-0.11,Matches
Bruno Mineiro,br BRA,FW,30.0,17,743.0,44.0,21.7,8.3,7,74.0,2.0,10,22.0,6,0.71,9.0,9.0,0.0,0.0,0.07,Matches
