Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Renan Brito Soares,br BRA,GK,30.0,35,35,3150,35.0,,,0,0.0,,9,8,18,11,31.4,3,2,0,1,0.0,Matches
Paulinho,br BRA,GK,20.0,3,3,270,3.0,,,0,0.0,,1,0,2,1,33.3,0,0,0,0,,Matches
Squad Total,,,24.4,38,38,3420,38.0,0.0,0.0,0,0.0,,10,8,20,12,31.6,3,2,0,1,0.0,
Opponent Total,,,26.6,38,38,3420,38.0,,,0,,,20,8,10,14,36.8,9,7,1,1,12.5,
