Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Diego Gonçalves,br BRA,"FW,MF",28.0,10,356.0,36.0,10.4,4.0,4,53.0,0,6,24.0,15,1.0,3.0,8.0,-5.0,-1.26,-0.91,4.8,6.2,-1.4,-0.35,-0.12,Matches
Alesson,br BRA,"FW,MF",23.0,23,655.0,28.0,19.2,7.3,3,59.0,0,20,24.0,12,0.61,9.0,14.0,-5.0,-0.69,-0.3,7.9,11.6,-3.7,-0.5,-0.32,Matches
Marcelo Rangel,br BRA,GK,34.0,3,270.0,90.0,7.9,3.0,3,90.0,3,0,,32,1.0,2.0,8.0,-6.0,-2.0,-1.69,3.3,6.1,-2.8,-0.94,-0.76,Matches
Apodi,br BRA,"FW,MF",36.0,13,382.0,29.0,11.2,4.2,2,66.0,0,11,23.0,20,0.62,6.0,11.0,-5.0,-1.18,-0.82,5.5,7.1,-1.7,-0.39,-0.17,Matches
Higor Meritão,br BRA,MF,28.0,8,223.0,28.0,6.5,2.5,2,59.0,0,6,18.0,11,2.0,2.0,4.0,-2.0,-0.81,-0.38,2.9,3.2,-0.3,-0.12,0.13,Matches
Pedrinho Junqueira,br BRA,"FW,MF",18.0,4,195.0,49.0,5.7,2.2,2,86.0,1,2,12.0,1,1.5,1.0,2.0,-1.0,-0.46,-0.02,1.3,2.2,-0.9,-0.42,-0.18,Matches
Matheusinho,br BRA,"FW,MF",24.0,7,195.0,28.0,5.7,2.2,1,67.0,0,6,21.0,2,1.0,4.0,3.0,1.0,0.46,0.96,1.6,2.6,-1.0,-0.45,-0.22,Matches
Gabriel Novaes,br BRA,FW,23.0,3,95.0,32.0,2.8,1.1,1,66.0,0,2,15.0,1,0.33,0.0,2.0,-2.0,-1.89,-1.49,0.7,1.9,-1.2,-1.14,-0.92,Matches
Dodô,br BRA,"MF,FW",21.0,15,323.0,22.0,9.4,3.6,0,,0,15,22.0,18,0.8,5.0,3.0,2.0,0.56,1.11,5.5,4.6,0.9,0.26,0.56,Matches
Philippe Costa,br BRA,FW,22.0,4,109.0,27.0,3.2,1.2,0,,0,4,27.0,3,0.25,1.0,0.0,1.0,0.83,1.31,2.4,0.7,1.6,1.35,1.64,Matches
Breno Herculano,br BRA,"FW,MF",23.0,3,79.0,26.0,2.3,0.9,0,,0,3,26.0,1,0.0,0.0,2.0,-2.0,-2.28,-1.87,0.5,1.1,-0.6,-0.67,-0.44,Matches
