Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
3,Flamengo,38,20,10,8,61,42,19,70,1.84,56.4,40.2,16.2,0.43,54420,Pedro - 11,Agustín Rossi,
4,Fortaleza,38,19,11,8,53,39,14,68,1.79,43.6,49.1,-5.5,-0.15,33262,Juan Martín Lucero - 8,João Ricardo Riedi,
5,Internacional,38,18,11,9,53,36,17,65,1.71,58.4,33.5,25.0,0.66,29012,Wesley - 11,Sergio Rochet,
6,São Paulo,38,17,8,13,53,43,10,59,1.55,40.3,35.4,5.0,0.13,38676,Luciano - 11,Rafael Pires,
7,Corinthians,38,15,11,12,54,45,9,56,1.47,49.1,43.1,6.0,0.16,43801,Yuri Alberto - 15,Hugo Souza,
