Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Iago,br BRA,"DF,MF",20.0,34.6,7,0,0,47,17,6,80,81,43,1,0,0,Matches
Patrick,br BRA,"FW,MF",25.0,34.1,7,0,0,60,49,0,55,32,82,0,0,0,Matches
Víctor Cuesta,ar ARG,DF,29.0,33.9,13,1,1,53,44,4,8,108,40,0,2,0,Matches
Rodrigo Dourado,br BRA,MF,23.0,32.9,11,0,0,73,34,3,2,93,64,0,0,0,Matches
Edenílson,br BRA,"FW,MF",28.0,32.2,9,1,0,35,46,2,65,50,29,0,0,0,Matches
William Pottker,br BRA,"FW,MF",24.0,24.6,4,1,0,35,44,7,44,19,20,1,0,0,Matches
Rodrigo Moledo,br BRA,DF,30.0,26.0,6,1,1,25,33,2,0,73,26,0,1,0,Matches
Nicolás López,uy URU,"FW,MF",24.0,26.0,5,0,0,35,49,14,119,11,26,0,0,0,Matches
Marcelo Lomba,br BRA,GK,31.0,24.0,1,0,0,0,5,0,0,0,2,0,0,0,Matches
Fabiano Leismann,br BRA,DF,26.0,20.7,7,0,0,28,5,0,88,26,34,0,0,1,Matches
Leandro Damião,br BRA,FW,28.0,19.1,3,0,0,35,35,7,10,2,8,3,0,0,Matches
Zeca,br BRA,DF,23.0,15.0,1,0,0,17,7,3,54,24,27,0,0,0,Matches
Danilo Fernandes,br BRA,GK,29.0,13.5,1,0,0,0,1,0,0,0,0,0,0,0,Matches
Andrés D'Alessandro,ar ARG,"FW,MF",36.0,14.1,5,1,0,5,33,1,122,11,9,0,0,0,Matches
Lucca,br BRA,"FW,MF",27.0,9.2,3,0,0,14,34,0,71,9,10,0,0,0,Matches
Jonatan Álvez,uy URU,FW,29.0,8.9,6,0,0,22,17,6,3,2,7,0,0,0,Matches
Rossi,br BRA,"FW,MF",24.0,9.8,5,0,0,21,34,2,73,10,16,2,0,0,Matches
Emerson Santos,br BRA,"DF,MF",22.0,9.0,1,0,0,8,9,0,0,21,12,0,0,1,Matches
Willian Klaus,br BRA,DF,24.0,5.0,0,0,0,1,0,2,0,5,3,0,0,0,Matches
Fernando Camilo Farias,br BRA,"FW,MF",31.0,5.6,0,0,0,7,8,2,46,2,8,0,0,0,Matches
Gabriel Dias,br BRA,DF,23.0,4.1,1,0,0,6,8,1,0,3,8,0,0,0,Matches
Uendel,br BRA,DF,29.0,2.5,0,0,0,2,3,0,6,5,2,0,0,0,Matches
Juan Alano,br BRA,"FW,MF",21.0,3.1,0,0,0,9,4,0,5,10,6,0,0,0,Matches
Wellington Silva,br BRA,"FW,MF",25.0,3.0,0,1,0,4,9,0,18,1,1,0,0,0,Matches
Danilo da Silva,br BRA,DF,31.0,2.0,2,0,0,3,0,0,0,3,1,0,0,0,Matches
Charles Rigon Matos,br BRA,MF,21.0,1.0,0,0,0,0,1,0,2,3,4,0,0,0,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,20.0,0.9,0,0,0,3,1,0,0,0,1,0,0,0,Matches
Gabriel Pires,br BRA,MF,18.0,0.8,0,0,0,1,1,0,0,0,2,0,0,0,Matches
Brenner,br BRA,MF,19.0,1.3,2,0,0,7,4,2,0,0,1,0,0,0,Matches
Daniel,br BRA,GK,23.0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Fábio Gonçalves,br BRA,MF,31.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Martín Sarrafiore,ar ARG,MF,20.0,0.1,0,0,0,2,0,0,0,0,3,0,0,0,Matches
Squad Total,,,26.7,38.0,100,6,2,558,536,64,872,604,495,7,3,2,
Opponent Total,,,27.0,38.0,102,7,3,572,530,42,688,511,540,2,9,1,
