Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Daniel,br BRA,GK,26.0,23.0,19,0,2,3,0,24.9,0.27,5.9,0.26,141,385,36.6,487,74,51.7,39.9,182,73.1,49.7,362,12,3.3,11,0.48,10.2,Matches
Marcelo Lomba,br BRA,GK,34.0,15.0,23,5,0,1,2,24.3,0.29,3.3,0.22,67,192,34.9,336,45,36.0,33.3,128,55.5,40.6,188,5,2.7,3,0.2,11.3,Matches
Squad Total,,,26.2,38.0,42,5,2,4,2,49.2,0.28,9.2,0.24,208,578,36.0,824,119,45.4,,310,65.8,45.9,555,17,3.1,14,0.37,,
Opponent Total,,,27.0,38.0,44,6,0,5,1,48.9,0.26,5.9,0.16,151,349,43.3,767,167,31.9,32.6,296,35.1,32.3,579,17,2.9,37,0.97,15.3,
