Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Brenner Marlos,br BRA,FW,21.0,1,9.0,9.0,0.3,0.1,0,,0.0,1,8.0,2,0.0,0.0,0.0,0.0,0.0,0.16,Matches
Alisson Farias,br BRA,"FW,MF",19.0,1,8.0,8.0,0.2,0.1,0,,0.0,1,7.0,2,1.0,0.0,0.0,0.0,0.0,0.16,Matches
Matheus Bertotto,br BRA,MF,22.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Marcos Calazans,br BRA,MF,19.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Keiller,br BRA,GK,19.0,0,,,,,0,,0.0,0,,5,,,,,,,Matches
Marcinho,br BRA,MF,31.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Maurides,br BRA,FW,21.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Yan Petter,br BRA,FW,19.0,0,,,,,0,,0.0,0,,5,,,,,,,Matches
Yonatthan Rak,uy URU,DF,22.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Réver,br BRA,DF,31.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Charles Rigon Matos,br BRA,MF,19.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Squad Total,,,25.5,38,3420.0,90.0,100.0,38.0,418,83.0,,114,25.0,281,1.13,35.0,41.0,-6.0,-0.16,,
Opponent Total,,,26.8,38,3420.0,90.0,100.0,38.0,418,83.0,,114,22.0,294,1.61,41.0,35.0,6.0,0.16,,
