Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Marcelo Lomba,br BRA,GK,33.0,37,37,3327,37.0,34,0.92,101,68,70.3,19,10,8,14,37.8,5,4,0,1,0.0,Matches
Danilo Fernandes,br BRA,GK,31.0,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
Daniel,br BRA,GK,25.0,1,0,3,0.0,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
Squad Total,,,27.1,38,38,3420,38.0,35,0.92,105,71,70.5,20,10,8,15,39.5,5,4,0,1,0.0,
Opponent Total,,,26.8,38,38,3420,38.0,61,1.61,161,101,67.7,8,10,20,7,18.4,10,9,1,0,10.0,
