Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-10-09,19:15,Série A,Matchweek 24,Wed,Away,L,0,1,CSA,1.0,1.3,69,9927.0,Marcelo Lomba,4-3-3,4-2-3-1,Vinicius Furlan,Match Report,
2019-10-13,16:00,Série A,Matchweek 25,Sun,Home,D,0,0,Santos,0.5,0.6,48,12035.0,Andrés D'Alessandro,4-3-3,4-3-3,Bruno Arleu de Araujo,Match Report,
2019-10-17,19:15,Série A,Matchweek 26,Thu,Away,W,2,0,Avaí,2.4,0.8,69,6377.0,Marcelo Lomba,4-3-3,4-3-3,Thiago Duarte Peixoto,Match Report,
2019-10-20,17:00,Série A,Matchweek 27,Sun,Home,L,0,1,Vasco da Gama,1.3,2.2,71,24435.0,Andrés D'Alessandro,4-3-3,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,
2019-10-26,19:00,Série A,Matchweek 28,Sat,Away,W,3,2,Bahia,1.3,1.0,45,27542.0,Marcelo Lomba,4-2-3-1,4-3-3,Marcelo de Lima Henrique,Match Report,
2019-10-31,21:30,Série A,Matchweek 29,Thu,Home,D,1,1,Ath Paranaense,2.5,1.4,54,18767.0,Andrés D'Alessandro,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2019-11-03,19:00,Série A,Matchweek 30,Sun,Away,L,0,2,Grêmio,0.2,1.1,41,40618.0,Marcelo Lomba,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2019-11-07,19:30,Série A,Matchweek 31,Thu,Away,L,0,2,Ceará,1.2,1.4,59,19966.0,Andrés D'Alessandro,4-2-3-1,4-4-2,Wilton Sampaio,Match Report,
2019-11-10,17:00,Série A,Matchweek 32,Sun,Home,W,2,1,Fluminense,2.5,1.1,40,11781.0,Andrés D'Alessandro,4-2-3-1,4-4-1-1,Rodolpho Toski Marques,Match Report,
2019-11-17,18:00,Série A,Matchweek 33,Sun,Away,D,0,0,Corinthians,0.7,0.9,50,29159.0,Andrés D'Alessandro,4-2-3-1,4-4-1-1,Marcelo de Lima Henrique,Match Report,
2019-11-24,19:00,Série A,Matchweek 34,Sun,Home,D,2,2,Fortaleza,3.7,2.2,60,26012.0,Andrés D'Alessandro,4-2-3-1,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,
2019-11-27,19:30,Série A,Matchweek 35,Wed,Home,L,1,2,Goiás,2.3,1.5,68,19331.0,Andrés D'Alessandro,4-2-3-1,4-1-4-1,Caio Max Augusto Vieira,Match Report,
2019-11-30,19:00,Série A,Matchweek 36,Sat,Away,W,1,0,Botafogo (RJ),1.2,0.8,55,30956.0,Marcelo Lomba,4-2-3-1,4-1-4-1,Rodolpho Toski Marques,Match Report,
2019-12-04,21:30,Série A,Matchweek 37,Wed,Away,L,1,2,São Paulo,0.9,1.9,58,30822.0,Marcelo Lomba,4-1-4-1,4-1-4-1,Braulio da Silva Machado,Match Report,
2019-12-08,16:00,Série A,Matchweek 38,Sun,Home,W,2,1,Atlético Mineiro,2.7,1.0,64,18616.0,Andrés D'Alessandro,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
