Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Víctor Cuesta,ar ARG,DF,32.0,35,3090.0,88.0,90.4,34.3,34,90.0,33.0,1,45.0,0,1.34,44.0,37.0,7.0,0.2,1.57,48.1,46.8,1.3,0.04,1.44,Matches
Patrick,br BRA,"FW,MF",28.0,34,2485.0,73.0,72.7,27.6,32,76.0,12.0,2,26.0,0,1.38,30.0,31.0,-1.0,-0.04,-0.32,37.3,41.9,-4.6,-0.17,-0.24,Matches
Yuri Alberto,br BRA,FW,19.0,33,2687.0,81.0,78.6,29.9,31,84.0,17.0,2,37.0,1,1.33,39.0,33.0,6.0,0.2,0.69,41.9,43.9,-2.0,-0.07,0.17,Matches
Edenílson,br BRA,"MF,FW",31.0,33,2711.0,82.0,79.3,30.1,30,86.0,24.0,3,41.0,0,1.21,34.0,28.0,6.0,0.2,0.71,41.1,41.4,-0.2,-0.01,0.46,Matches
Rodrigo Dourado,br BRA,MF,26.0,29,2296.0,79.0,67.1,25.5,28,81.0,18.0,1,15.0,2,1.21,33.0,24.0,9.0,0.35,0.91,35.6,35.0,0.6,0.02,0.38,Matches
Bruno Méndez,uy URU,DF,21.0,25,2217.0,89.0,64.8,24.6,25,89.0,24.0,0,,0,1.31,29.0,24.0,5.0,0.2,0.43,32.0,31.2,0.9,0.03,0.39,Matches
Moisés,br BRA,DF,25.0,26,2086.0,80.0,61.0,23.2,25,82.0,14.0,1,28.0,0,1.27,26.0,28.0,-2.0,-0.09,-0.36,31.3,30.7,0.6,0.02,0.32,Matches
Renzo Saravia,ar ARG,DF,27.0,27,1984.0,73.0,58.0,22.0,25,76.0,10.0,2,39.0,0,1.19,27.0,20.0,7.0,0.32,0.63,28.5,32.5,-4.0,-0.18,-0.19,Matches
Daniel,br BRA,GK,26.0,23,2070.0,90.0,60.5,23.0,23,90.0,23.0,0,,1,1.65,31.0,19.0,12.0,0.52,1.19,33.2,29.6,3.6,0.16,0.65,Matches
Rodrigo Lindoso,br BRA,MF,31.0,26,1742.0,67.0,50.9,19.4,22,76.0,12.0,4,18.0,6,1.62,27.0,23.0,4.0,0.21,0.31,27.4,28.5,-1.2,-0.06,0.09,Matches
Taison,br BRA,"MF,FW",33.0,22,1668.0,76.0,48.8,18.5,22,76.0,8.0,0,,1,1.45,28.0,17.0,11.0,0.59,1.06,27.0,22.9,4.1,0.22,0.63,Matches
Mauricio,br BRA,"MF,FW",19.0,30,1420.0,47.0,41.5,15.8,15,66.0,3.0,15,28.0,2,1.33,19.0,12.0,7.0,0.44,0.67,19.7,18.7,1.0,0.06,0.28,Matches
Marcelo Lomba,br BRA,GK,34.0,15,1350.0,90.0,39.5,15.0,15,90.0,15.0,0,,18,0.67,13.0,23.0,-10.0,-0.67,-1.19,17.4,24.9,-7.5,-0.5,-0.65,Matches
Johnny Cardoso,us USA,MF,19.0,27,1211.0,45.0,35.4,13.5,11,73.0,5.0,16,25.0,11,1.33,9.0,17.0,-8.0,-0.59,-1.0,15.5,23.2,-7.7,-0.57,-0.73,Matches
Heitor,br BRA,DF,20.0,24,1158.0,48.0,33.9,12.9,11,84.0,7.0,13,18.0,7,1.42,15.0,18.0,-3.0,-0.23,-0.43,17.9,17.5,0.5,0.04,0.21,Matches
Caio Vidal,br BRA,"FW,MF",20.0,20,944.0,47.0,27.6,10.5,11,65.0,2.0,9,25.0,14,1.25,7.0,11.0,-4.0,-0.38,-0.6,12.5,16.0,-3.5,-0.33,-0.32,Matches
Gabriel Mercado,ar ARG,DF,33.0,12,841.0,70.0,24.6,9.3,9,84.0,6.0,3,29.0,8,1.08,6.0,9.0,-3.0,-0.32,-0.5,9.6,15.1,-5.5,-0.59,-0.64,Matches
Carlos Palacios,cl CHI,"MF,FW",20.0,20,893.0,45.0,26.1,9.9,8,76.0,1.0,12,24.0,2,1.05,9.0,10.0,-1.0,-0.1,-0.21,12.8,14.3,-1.6,-0.16,-0.08,Matches
Paulo Victor,br BRA,DF,19.0,19,858.0,45.0,25.1,9.5,8,80.0,5.0,11,20.0,9,1.32,12.0,10.0,2.0,0.21,0.21,10.8,14.7,-3.8,-0.4,-0.4,Matches
Lucas Ribeiro,br BRA,DF,22.0,7,421.0,60.0,12.3,4.7,6,69.0,3.0,1,10.0,8,1.43,6.0,6.0,0.0,0.0,-0.06,8.0,7.5,0.5,0.11,0.24,Matches
Thiago Galhardo,br BRA,FW,31.0,9,460.0,51.0,13.5,5.1,5,72.0,1.0,4,25.0,2,1.0,6.0,9.0,-3.0,-0.59,-0.74,7.1,5.5,1.6,0.31,0.48,Matches
Pedro Henrique,br BRA,DF,20.0,5,359.0,72.0,10.5,4.0,4,79.0,3.0,1,45.0,7,1.14,8.0,6.0,2.0,0.5,0.5,4.6,8.7,-4.2,-1.04,-1.05,Matches
Zé Gabriel,br BRA,"DF,MF",22.0,9,379.0,42.0,11.1,4.2,3,78.0,2.0,6,24.0,20,1.22,3.0,9.0,-6.0,-1.42,-1.66,4.7,7.8,-3.1,-0.74,-0.72,Matches
Leonardo Borges,br BRA,"DF,FW",20.0,5,283.0,57.0,8.3,3.1,3,72.0,1.0,2,34.0,4,1.8,4.0,1.0,3.0,0.95,0.98,5.6,4.5,1.2,0.38,0.52,Matches
Gabriel Boschilia,br BRA,MF,24.0,16,527.0,33.0,15.4,5.9,2,60.0,0.0,14,29.0,12,0.94,9.0,12.0,-3.0,-0.51,-0.67,8.2,8.9,-0.8,-0.13,-0.03,Matches
Kaique Rocha,br BRA,DF,19.0,3,209.0,70.0,6.1,2.3,2,82.0,1.0,1,45.0,17,0.67,2.0,3.0,-1.0,-0.43,-0.51,2.1,4.9,-2.8,-1.2,-1.16,Matches
Juan Cuesta,co COL,"FW,MF",18.0,4,129.0,32.0,3.8,1.4,2,51.0,0.0,2,14.0,9,0.25,1.0,1.0,0.0,0.0,-0.05,1.5,1.5,0.1,0.04,0.15,Matches
Lucas Ramos,br BRA,"MF,FW",20.0,2,112.0,56.0,3.3,1.2,2,56.0,0.0,0,,8,1.0,1.0,2.0,-1.0,-0.8,-0.89,1.7,1.7,-0.1,-0.05,0.05,Matches
Paolo Guerrero,pe PER,"FW,MF",37.0,9,225.0,25.0,6.6,2.5,1,45.0,0.0,8,23.0,1,2.0,5.0,1.0,4.0,1.6,1.66,3.7,2.9,0.8,0.31,0.44,Matches
Matheus Cadorini,br BRA,"FW,MF",18.0,8,193.0,24.0,5.6,2.1,1,56.0,0.0,7,20.0,6,1.13,3.0,4.0,-1.0,-0.47,-0.55,3.8,1.9,1.9,0.9,1.06,Matches
Bruno Praxedes,br BRA,MF,18.0,2,108.0,54.0,3.2,1.2,1,90.0,1.0,1,18.0,0,0.5,1.0,6.0,-5.0,-4.17,-4.36,0.7,3.4,-2.8,-2.3,-2.27,Matches
Nonato,br BRA,MF,22.0,3,79.0,26.0,2.3,0.9,1,52.0,0.0,2,14.0,9,0.67,0.0,4.0,-4.0,-4.56,-4.72,0.3,2.4,-2.1,-2.36,-2.31,Matches
Gustavo Maia,br BRA,"FW,MF",20.0,8,155.0,19.0,4.5,1.7,0,,0.0,8,19.0,10,1.0,2.0,4.0,-2.0,-1.16,-1.27,1.6,3.1,-1.5,-0.87,-0.8,Matches
Vinicius Mello,br BRA,FW,18.0,8,100.0,13.0,2.9,1.1,0,,0.0,8,13.0,4,0.88,0.0,1.0,-1.0,-0.9,-0.98,1.3,2.7,-1.4,-1.27,-1.2,Matches
Thauan Lara,br BRA,DF,17.0,1,11.0,11.0,0.3,0.1,0,,0.0,1,11.0,1,0.0,0.0,0.0,0.0,0.0,-0.05,0.1,0.0,0.1,0.91,1.01,Matches
Peglow,br BRA,"MF,DF",19.0,1,10.0,10.0,0.3,0.1,0,,0.0,1,10.0,4,1.0,0.0,0.0,0.0,0.0,-0.05,0.2,0.3,-0.1,-0.61,-0.5,Matches
Danilo Fernandes,br BRA,GK,32.0,0,,,0.0,0.0,0,,,0,,2,1.5,2.0,2.0,0.0,,,,,,,,Matches
Vitor Hugo,br BRA,GK,19.0,0,,,0.0,0.0,0,,,0,,7,0.0,1.0,5.0,-4.0,,,,,,,,Matches
Anthoni,br BRA,GK,19.0,0,,,,,0,,,0,,4,,,,,,,,,,,,Matches
Emerson Júnior,br BRA,GK,20.0,0,,,,,0,,,0,,18,,,,,,,,,,,,Matches
Lucas Mazetti,br BRA,DF,19.0,0,,,,,0,,,0,,9,,,,,,,,,,,,Matches
