Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Flamengo,19,11,4,4,35,23,12,37,1.95,44.9,17.6,27.3,1.44,19,10,4,5,33,25,8,34,1.79,33.4,17.6,15.8,0.83
2,Internacional,19,12,5,2,34,17,17,41,2.16,29.4,18.7,10.7,0.56,19,8,5,6,27,18,9,29,1.53,25.9,17.5,8.4,0.44
3,Atlético Mineiro,19,14,4,1,41,13,28,46,2.42,37.1,18.1,19.0,1.0,19,6,4,9,23,32,-9,22,1.16,31.4,27.7,3.8,0.2
4,São Paulo,19,10,7,2,29,16,13,37,1.95,27.8,17.7,10.0,0.53,19,8,5,6,30,25,5,29,1.53,26.5,21.8,4.8,0.25
