Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Iago Maidana,br BRA,DF,24.0,4,246.0,62.0,7.2,2.7,3,73.0,1.0,1,27.0,1,0.75,1.0,3.0,-2.0,-0.73,-0.42,2.0,3.6,-1.6,-0.57,-0.31,Matches
Cristiano,br BRA,"FW,MF",19.0,9,166.0,18.0,4.9,1.8,1,60.0,0.0,8,13.0,16,0.67,1.0,3.0,-2.0,-1.08,-0.78,4.3,2.0,2.3,1.26,1.62,Matches
Betinho,br BRA,MF,28.0,4,150.0,38.0,4.4,1.7,1,45.0,0.0,3,35.0,28,1.0,3.0,3.0,0.0,0.0,0.36,1.6,3.5,-1.9,-1.15,-0.91,Matches
Leandro Barcia,uy URU,"FW,MF",28.0,5,130.0,26.0,3.8,1.4,1,18.0,0.0,4,28.0,6,1.0,2.0,1.0,1.0,0.69,1.08,2.2,3.0,-0.8,-0.54,-0.27,Matches
Pedro Victor,br BRA,"MF,FW",20.0,3,106.0,35.0,3.1,1.2,1,74.0,0.0,2,16.0,23,2.33,2.0,1.0,1.0,0.85,1.23,2.3,1.0,1.3,1.08,1.41,Matches
Carlos Eduardo,br BRA,GK,28.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,28,0.5,2.0,3.0,-1.0,-1.0,-0.68,2.1,0.8,1.3,1.35,1.68,Matches
Victor Gabriel,br BRA,DF,16.0,1,45.0,45.0,1.3,0.5,1,45.0,0.0,0,,13,0.0,0.0,1.0,-1.0,-2.0,-1.68,0.3,1.2,-0.9,-1.87,-1.61,Matches
Maxwell,br BRA,"FW,MF",25.0,7,121.0,17.0,3.5,1.3,0,,0.0,7,17.0,1,0.29,1.0,1.0,0.0,0.0,0.35,1.9,1.9,0.0,-0.02,0.27,Matches
Patric Cabral Lalau,br BRA,DF,31.0,5,112.0,22.0,3.3,1.2,0,,0.0,5,22.0,1,0.6,1.0,2.0,-1.0,-0.8,-0.48,1.3,3.3,-2.0,-1.61,-1.37,Matches
Flávio Souza,br BRA,FW,19.0,3,45.0,15.0,1.3,0.5,0,,0.0,3,15.0,12,1.33,1.0,1.0,0.0,0.0,0.35,0.8,0.7,0.1,0.16,0.45,Matches
