Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nonoca,br BRA,MF,19.0,4,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Max,br BRA,DF,30.0,1,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Pardal,br BRA,MF,18.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adenilson Aparecido,br BRA,MF,23.0,0,0,,,,,,,,,,,,,,,,Matches
Elias,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Oswaldo Henríquez,co COL,DF,28.0,0,0,,,,,,,,,,,,,,,,Matches
Jadsom,br BRA,MF,16.0,0,0,,,,,,,,,,,,,,,,Matches
Jean,br BRA,DF,22.0,0,0,,,,,,,,,,,,,,,,Matches
Lucas,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches
Marlon,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Luan Polli,br BRA,GK,24.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.2,38,418,3420.0,38.0,32.0,20.0,52.0,30.0,2.0,3.0,85.0,4.0,0.84,0.53,1.37,0.79,1.32,
Opponent Total,,,27.0,38,418,3420.0,38.0,57.0,37.0,94.0,52.0,5.0,8.0,79.0,2.0,1.5,0.97,2.47,1.37,2.34,
