Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Magrão,br BRA,GK,36.0,38,38,3420,38.0,,,0,0.0,,14,10,14,14,36.8,3,2,1,0,33.3,Matches
Squad Total,,,27.0,38,38,3420,38.0,0.0,0.0,0,0.0,,14,10,14,14,36.8,3,2,1,0,33.3,
Opponent Total,,,26.0,38,38,3415,38.0,,,0,,,14,10,14,13,34.2,2,2,0,0,0.0,
