Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
13,São Paulo,38,13,11,14,48,49,-1,50,1.32,35880,Hernanes - 9,Renan Ribeiro,→ Copa Sudamericana via league finish
14,Fluminense,38,11,14,13,50,53,-3,47,1.24,16253,Henrique Dourado - 18,Júlio César,→ Copa Sudamericana via league finish
15,Sport Recife,38,12,9,17,46,58,-12,45,1.18,14457,André - 16,Magrão,
16,Vitória,38,11,10,17,50,58,-8,43,1.13,11079,Santiago Tréllez - 10,Fernando Miguel,
17,Coritiba,38,11,10,17,42,51,-9,43,1.13,13946,Henrique Almeida - 7,Wilson,Relegated
