Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Walter,br BRA,GK,35.0,35.0,35,4,0,3,2,40.0,0.26,7.0,0.2,177,394,44.9,667,138,37.0,34.8,264,55.7,41.9,556,36,6.5,15,0.43,9.8,Matches
João Carlos,br BRA,GK,34.0,3.0,4,0,0,0,0,4.3,0.36,0.3,0.09,15,30,50.0,41,10,46.3,39.2,25,44.0,37.4,34,2,5.9,0,0.0,6.3,Matches
Squad Total,,,28.1,38.0,39,4,0,3,2,44.2,0.27,7.2,0.19,192,424,45.3,708,148,37.6,,289,54.7,41.5,590,38,6.4,15,0.39,,
Opponent Total,,,27.6,38.0,40,7,1,6,1,42.4,0.27,3.4,0.09,172,414,41.5,859,168,36.6,34.3,296,33.8,32.3,659,51,7.7,31,0.82,12.1,
