Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Santos,br BRA,GK,27.0,32.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Pablo,br BRA,"FW,MF",25.0,30.3,12,65,28,43.1,2.14,0.92,0.18,0.43,,0,0,Matches
Nikão,br BRA,"FW,MF",25.0,25.7,2,71,23,32.4,2.77,0.9,0.03,0.09,,0,0,Matches
Raphael Veiga,br BRA,MF,22.0,23.6,7,61,24,39.3,2.58,1.02,0.11,0.29,,0,0,Matches
Lucho González,ar ARG,MF,37.0,19.4,1,12,5,41.7,0.62,0.26,0.08,0.2,,0,0,Matches
Bruno Guimarães,br BRA,MF,20.0,21.7,1,16,3,18.8,0.74,0.14,0.06,0.33,,0,0,Matches
Renan Lodi,br BRA,"DF,MF",19.0,20.5,0,30,9,30.0,1.46,0.44,0.0,0.0,,0,0,Matches
Jonathan Moreira,br BRA,DF,31.0,20.3,1,3,1,33.3,0.15,0.05,0.33,1.0,,0,0,Matches
Thiago Heleno,br BRA,DF,29.0,19.1,2,15,4,26.7,0.79,0.21,0.13,0.5,,0,0,Matches
Marcinho,br BRA,"FW,MF",22.0,17.7,2,28,14,50.0,1.58,0.79,0.07,0.14,,0,0,Matches
Zé Ivaldo,br BRA,DF,20.0,17.4,1,11,4,36.4,0.63,0.23,0.09,0.25,,0,0,Matches
Léo Pereira,br BRA,DF,22.0,17.1,3,13,5,38.5,0.76,0.29,0.23,0.6,,0,0,Matches
Wellington Martins,br BRA,MF,27.0,16.6,1,14,2,14.3,0.85,0.12,0.07,0.5,,0,0,Matches
Guilherme Camacho,br BRA,MF,27.0,15.9,1,13,3,23.1,0.82,0.19,0.08,0.33,,0,0,Matches
Marcelo Cirino,br BRA,"FW,MF",26.0,11.1,4,18,6,33.3,1.62,0.54,0.22,0.67,,0,0,Matches
Wanderson,br BRA,DF,26.0,14.1,0,5,1,20.0,0.35,0.07,0.0,0.0,,0,0,Matches
Thiago Carleto,br BRA,"DF,MF",28.0,11.5,2,32,15,46.9,2.78,1.3,0.06,0.13,,0,0,Matches
Guilherme,br BRA,"FW,MF",29.0,10.4,2,19,6,31.6,1.83,0.58,0.05,0.17,,1,1,Matches
Paulo André,br BRA,DF,34.0,10.3,1,4,2,50.0,0.39,0.19,0.25,0.5,,0,0,Matches
Matheus Rossetto,br BRA,MF,21.0,11.9,2,9,3,33.3,0.76,0.25,0.22,0.67,,0,0,Matches
Bergson da Silva,br BRA,FW,26.0,9.7,3,35,8,22.9,3.62,0.83,0.06,0.25,,1,1,Matches
Diego,br BRA,DF,21.0,7.8,0,4,1,25.0,0.51,0.13,0.0,0.0,,0,0,Matches
Rony,br BRA,"FW,MF",22.0,7.4,3,27,12,44.4,3.67,1.63,0.11,0.25,,0,0,Matches
Márcio Azevedo,br BRA,DF,31.0,6.7,0,3,1,33.3,0.44,0.15,0.0,0.0,,0,0,Matches
Felipe Alves Raymundo,br BRA,GK,29.0,6.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Esteban Pavez,cl CHI,MF,27.0,5.6,0,2,1,50.0,0.36,0.18,0.0,0.0,,0,0,Matches
Bruno Nazário,br BRA,"FW,MF",22.0,3.2,0,5,0,0.0,1.58,0.0,0.0,,,0,0,Matches
Ribamar,br BRA,FW,20.0,1.2,0,5,0,0.0,4.29,0.0,0.0,,,0,0,Matches
Nicolas,br BRA,DF,20.0,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Éderson,br BRA,FW,28.0,1.1,1,3,1,33.3,2.65,0.88,0.33,1.0,,0,0,Matches
Anderson Plata,co COL,"FW,MF",27.0,0.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Gabriel Taliari,br BRA,FW,20.0,0.5,0,1,1,100.0,2.2,2.2,0.0,0.0,,0,0,Matches
Crysan,br BRA,"FW,MF",21.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Deivid,br BRA,MF,29.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,26.1,38.0,52,524,183,34.9,13.79,4.82,0.1,0.27,,2,2,
Opponent Total,,,27.1,38.0,34,515,166,32.2,13.55,4.37,0.05,0.15,,9,10,
