Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nino Paraíba,br BRA,DF,37.0,2.2,81,109,74.3,1535,675,38,45,84.4,27,37,73.0,12,20,60.0,0,0.5,0.5,-0.5,5,9,8,7,19,Matches
Washington Aguerre,uy URU,GK,29.0,2.0,31,41,75.6,816,564,7,7,100.0,12,12,100.0,11,21,52.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Henrique Almeida,br BRA,FW,31.0,1.7,24,29,82.8,305,49,15,17,88.2,4,5,80.0,2,2,100.0,0,0.3,0.3,-0.3,3,1,0,0,3,Matches
Paulinho Bóia,br BRA,FW,24.0,1.5,39,50,78.0,595,152,22,26,84.6,15,20,75.0,2,3,66.7,0,0.3,0.2,-0.3,5,1,2,2,1,Matches
Juan Cazares,ec ECU,"MF,FW",30.0,3.1,98,140,70.0,1754,512,44,48,91.7,37,48,77.1,14,31,45.2,1,1.1,0.6,-0.1,9,12,6,2,18,Matches
Adyson,br BRA,"FW,MF",17.0,2.7,97,140,69.3,1609,650,48,56,85.7,37,51,72.5,8,20,40.0,0,0.4,0.7,-0.4,10,8,13,4,17,Matches
Mikael,br BRA,FW,23.0,1.7,19,25,76.0,222,18,9,12,75.0,7,8,87.5,0,0,,0,0.2,0.1,-0.2,2,0,0,0,1,Matches
Arthur,br BRA,DF,19.0,1.0,38,55,69.1,615,284,20,22,90.9,17,22,77.3,1,9,11.1,0,0.0,0.0,0.0,1,2,0,0,7,Matches
Wellington Paulista,br BRA,FW,38.0,2.5,30,40,75.0,371,88,15,18,83.3,10,16,62.5,1,1,100.0,0,0.1,0.6,-0.1,1,3,1,0,5,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",28.0,0.7,23,28,82.1,345,54,12,13,92.3,9,10,90.0,1,2,50.0,0,0.0,0.1,0.0,0,0,0,0,0,Matches
Renato Kayser,br BRA,"FW,MF",26.0,0.4,10,15,66.7,100,6,7,7,100.0,2,3,66.7,0,2,0.0,0,0.1,0.0,-0.1,1,0,0,0,1,Matches
Ighor Gabryel,br BRA,FW,20.0,0.3,6,7,85.7,83,19,5,5,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Paulinho,br BRA,DF,18.0,0.3,15,16,93.8,275,74,9,9,100.0,4,4,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Jhow,br BRA,DF,19.0,0.2,18,18,100.0,357,148,5,5,100.0,11,11,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Yago Souza,br BRA,MF,16.0,0.2,6,6,100.0,69,16,5,5,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,29.1,38.0,11502,15310,75.1,205951,86291,5202,6065,85.8,4592,5705,80.5,1333,2563,52.0,30,34.4,36.0,-4.4,395,1045,293,111,1387,
Opponent Total,,,27.5,38.0,16570,20543,80.7,286429,101108,7807,8699,89.7,6722,7800,86.2,1597,2942,54.3,57,44.6,42.5,12.4,442,1520,350,98,1725,
