Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Messias,br BRA,DF,23.0,35,3145.0,90.0,92.0,34.9,35,90.0,34.0,0,,0,1.11,28.0,41.0,-13.0,-0.37,0.94,Matches
Matheus Ferraz,br BRA,DF,32.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,4,1.0,24.0,40.0,-16.0,-0.48,-0.28,Matches
Juninho,br BRA,MF,30.0,34,2752.0,81.0,80.5,30.6,30,87.0,25.0,4,34.0,3,1.12,26.0,39.0,-13.0,-0.43,0.11,Matches
João Ricardo Riedi,br BRA,GK,29.0,28,2520.0,90.0,73.7,28.0,28,90.0,28.0,0,,0,1.04,20.0,35.0,-15.0,-0.54,-0.34,Matches
Carlinhos,br BRA,DF,31.0,27,2248.0,83.0,65.7,25.0,26,85.0,22.0,1,45.0,5,1.15,18.0,31.0,-13.0,-0.52,-0.21,Matches
Luan,br BRA,"FW,MF",29.0,26,1876.0,72.0,54.9,20.8,24,77.0,12.0,2,15.0,1,1.04,17.0,26.0,-9.0,-0.43,0.03,Matches
Leandro Donizete,br BRA,MF,35.0,26,2071.0,80.0,60.6,23.0,23,87.0,18.0,3,23.0,3,0.92,17.0,32.0,-15.0,-0.65,-0.52,Matches
Giovanni Palmieri,br BRA,DF,28.0,24,1777.0,74.0,52.0,19.7,20,82.0,15.0,4,35.0,2,1.13,19.0,23.0,-4.0,-0.2,0.51,Matches
Aderlan Silva,br BRA,DF,27.0,23,1712.0,74.0,50.1,19.0,20,84.0,16.0,3,9.0,9,1.13,14.0,20.0,-6.0,-0.32,0.26,Matches
Norberto,br BRA,DF,27.0,20,1619.0,81.0,47.3,18.0,20,81.0,14.0,0,,2,1.15,16.0,26.0,-10.0,-0.56,-0.21,Matches
Gérson Magrão,br BRA,MF,32.0,24,1503.0,63.0,43.9,16.7,18,78.0,9.0,6,16.0,9,1.21,10.0,18.0,-8.0,-0.48,-0.06,Matches
Rafael Moura,br BRA,FW,34.0,27,1691.0,63.0,49.4,18.8,17,80.0,10.0,10,33.0,3,1.0,19.0,24.0,-5.0,-0.27,0.36,Matches
Wesley,br BRA,MF,30.0,17,915.0,54.0,26.8,10.2,13,68.0,2.0,4,8.0,15,1.0,8.0,13.0,-5.0,-0.49,-0.06,Matches
Zé Ricardo,br BRA,MF,21.0,18,1097.0,61.0,32.1,12.2,12,85.0,9.0,6,14.0,15,1.56,6.0,14.0,-8.0,-0.66,-0.31,Matches
Serginho,cn CHN,"FW,MF",22.0,12,1057.0,88.0,30.9,11.7,12,88.0,9.0,0,,0,1.17,13.0,17.0,-4.0,-0.34,0.15,Matches
