Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
5,Cruzeiro,38,15,12,11,47,39,8,57,1.5,17369,Thiago Neves - 11,Fábio,→ Copa Libertadores via cup win 1
6,Flamengo,38,15,11,12,49,38,11,56,1.47,16486,Diego - 10,Diego Alves,→ Copa Libertadores via league finish
7,Vasco da Gama,38,15,11,12,40,47,-7,56,1.47,13994,"Luís Fabiano, Nenê - 5",Martín Silva,→ Copa Libertadores via league finish
8,Chapecoense,38,15,9,14,47,49,-2,54,1.42,10188,Wellington Paulista - 9,Jandrei,→ Copa Libertadores via league finish
9,Atlético Mineiro,38,14,12,12,52,49,3,54,1.42,15850,Fred - 12,Victor Leandro Bagy,→ Copa Sudamericana via league finish
