Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Luiz Gustavo,br BRA,DF,24.0,1.5,50,65,76.9,983,380,14,18,77.8,30,34,88.2,5,12,41.7,0,0.0,0.0,0.0,1,4,0,0,2,Matches
Clayton,br BRA,"FW,MF",23.0,1.4,24,38,63.2,394,70,14,17,82.4,6,8,75.0,4,8,50.0,0,0.1,0.1,-0.1,1,0,0,0,2,Matches
Bruno Silva,br BRA,DF,30.0,1.0,38,39,97.4,741,239,15,15,100.0,19,20,95.0,4,4,100.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Miranda,br BRA,"MF,DF",19.0,0.7,16,19,84.2,298,83,6,7,85.7,8,10,80.0,2,2,100.0,0,0.1,0.0,-0.1,2,5,0,0,2,Matches
Gabriel Chaves,br BRA,"FW,MF",17.0,2.1,23,39,59.0,377,142,12,14,85.7,8,13,61.5,3,7,42.9,1,0.2,0.5,0.8,3,3,2,0,5,Matches
Jairinho,br BRA,FW,28.0,1.1,10,16,62.5,151,35,6,10,60.0,3,3,100.0,1,2,50.0,0,0.1,0.0,-0.1,1,2,1,0,1,Matches
Alexandre Melo,br BRA,DF,19.0,0.5,17,25,68.0,272,169,10,11,90.9,5,8,62.5,2,5,40.0,0,0.0,0.0,0.0,0,1,1,0,3,Matches
Lucas Robinho,br BRA,FW,19.0,0.1,2,5,40.0,81,0,0,1,0.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.0,38.0,11772,15252,77.2,209119,80561,5364,6133,87.5,4591,5516,83.2,1380,2604,53.0,20,35.9,25.8,-15.9,365,931,226,77,1317,
Opponent Total,,,27.6,38.0,15452,18995,81.3,268624,92144,7006,7829,89.5,6494,7486,86.7,1476,2552,57.8,28,38.9,31.7,-10.9,382,1191,227,78,1593,
