Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-01-31,20:45,Libertadores,Second qualifying stage,Wed,Away,W,4,0,cl U Concepción,45,,Martín Silva,4-5-1,4-2-3-1,Leodán González,Match Report,Leg 1 of 2
2018-02-07,21:45,Libertadores,Second qualifying stage,Wed,Home,W,2,0,cl U Concepción,50,,Martín Silva,4-2-3-1,4-3-3,José Argote,Match Report,Leg 2 of 2; Vasco da Gama won
2018-02-14,21:45,Libertadores,Third qualifying stage,Wed,Home,W,4,0,bo Wilstermann,66,,Martín Silva,4-2-3-1,4-3-3,Fernando Rapallini,Match Report,Leg 1 of 2
2018-02-21,20:45,Libertadores,Third qualifying stage,Wed,Away,L,0 (3),4 (2),bo Wilstermann,45,,Martín Silva,4-2-3-1,4-2-3-1,Wilmar Roldán,Match Report,Leg 2 of 2; Vasco da Gama won; Vasco da Gama won on penalty kicks following extra time
2018-03-13,21:30,Libertadores,Group stage,Tue,Home,L,0,1,cl U de Chile,57,,Martín Silva,4-2-3-1,3-4-3,Daniel Fedorczuk,Match Report,
2018-04-04,21:45,Libertadores,Group stage,Wed,Away,D,0,0,br Cruzeiro,48,,Martín Silva,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2018-04-15,16:00,Série A,Matchweek 1,Sun,Home,W,2,1,Atlético Mineiro,66,7197.0,Martín Silva,4-1-4-1,4-1-4-1,André Luiz de Freitas Castro,Match Report,
2018-04-19,19:15,Libertadores,Group stage,Thu,Away,L,0,4,ar Racing Club,41,,Martín Silva,4-5-1,4-1-3-2,Ulises Mereles,Match Report,
2018-04-22,16:00,Série A,Matchweek 2,Sun,Away,D,1,1,Chapecoense,65,8675.0,Martín Silva,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2018-04-26,21:30,Libertadores,Group stage,Thu,Home,D,1,1,ar Racing Club,44,,Martín Silva,4-2-3-1,4-1-3-2,Diego Haro,Match Report,
2018-05-02,21:45,Libertadores,Group stage,Wed,Home,L,0,4,br Cruzeiro,55,,Martín Silva,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2018-05-05,19:00,Série A,Matchweek 4,Sat,Home,W,4,1,América (MG),66,3683.0,Martín Silva,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2018-05-13,16:00,Série A,Matchweek 5,Sun,Home,L,2,3,Vitória,62,3542.0,Martín Silva,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2018-05-19,19:00,Série A,Matchweek 6,Sat,Away,D,1,1,Flamengo,40,35208.0,Martín Silva,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,
2018-05-22,20:30,Libertadores,Group stage,Tue,Away,W,2,0,cl U de Chile,43,,Martín Silva,4-2-3-1,4-3-3,Gery Vargas,Match Report,
2018-05-27,16:00,Série A,Matchweek 7,Sun,Away,L,0,3,Bahia,49,15031.0,Wágner,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2018-05-30,19:30,Série A,Matchweek 8,Wed,Home,W,1,0,Paraná,50,4584.0,Werley,4-4-2,4-1-4-1,Leandro Pedro Vuaden,Match Report,
2018-06-02,19:00,Série A,Matchweek 9,Sat,Home,L,1,2,Botafogo (RJ),73,9454.0,Wágner,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2018-06-06,21:45,Série A,Matchweek 10,Wed,Away,D,1,1,Cruzeiro,34,23725.0,Wágner,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2018-06-09,19:00,Série A,Matchweek 11,Sat,Home,W,3,2,Sport Recife,41,8418.0,Yago Pikachu,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
