Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Martín Silva,uy URU,GK,34.0,24,24,2160,24.0,31,1.29,91,62,68.1,6,9,9,3,12.5,2,2,0,0,0.0,Matches
Fernando Miguel,br BRA,GK,32.0,14,14,1260,14.0,17,1.21,52,36,67.3,4,4,6,4,28.6,1,0,1,0,100.0,Matches
Squad Total,,,27.2,38,38,3420,38.0,48,1.26,143,98,67.8,10,13,15,7,18.4,3,2,1,0,33.3,
Opponent Total,,,27.0,38,38,3417,38.0,41,1.08,146,117,78.8,15,13,10,9,23.7,12,10,2,0,16.7,
