Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Saulo Mineiro,br BRA,FW,22.0,17,512.0,30.0,15.0,5.7,1,45.0,0.0,16,29.0,0,1.76,9.0,6.0,3.0,0.53,0.53,8.3,7.0,1.2,0.22,0.28,Matches
Rick,br BRA,"FW,MF",20.0,8,185.0,23.0,5.4,2.1,1,55.0,0.0,7,19.0,2,1.0,4.0,2.0,2.0,0.97,0.95,3.4,3.6,-0.1,-0.07,-0.06,Matches
Marthã,br BRA,MF,22.0,3,51.0,17.0,1.5,0.6,1,45.0,0.0,2,3.0,6,1.33,1.0,4.0,-3.0,-5.29,-5.45,0.3,2.3,-2.0,-3.51,-3.55,Matches
Vítor Jacaré,br BRA,FW,20.0,10,262.0,26.0,7.7,2.9,0,,0.0,10,26.0,20,0.2,3.0,10.0,-7.0,-2.4,-2.69,5.6,5.8,-0.2,-0.07,-0.05,Matches
Bergson da Silva,br BRA,FW,28.0,5,58.0,12.0,1.7,0.6,0,,0.0,5,12.0,7,1.0,0.0,0.0,0.0,0.0,-0.08,0.6,0.2,0.4,0.61,0.64,Matches
Alan Uchôa,br BRA,DF,20.0,1,7.0,7.0,0.2,0.1,0,,0.0,1,7.0,0,3.0,1.0,0.0,1.0,12.86,12.8,0.7,0.0,0.7,7.62,7.65,Matches
Cristiano,br BRA,FW,20.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
David,br BRA,MF,15.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Geovane,br BRA,MF,20.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
André Luiz,br BRA,GK,19.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Wesley Pibinha,br BRA,MF,23.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Diogo Silva,br BRA,GK,33.0,0,,,,,0,,,0,,17,,,,,,,,,,,,Matches
Marcos Ytalo,br BRA,DF,23.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
Squad Total,,,27.9,38,3420.0,90.0,100.0,38.0,418,82.0,238.0,177,19.0,271,1.37,54.0,51.0,3.0,0.08,,51.8,52.6,-0.8,-0.02,,
Opponent Total,,,26.1,38,3420.0,90.0,100.0,38.0,418,82.0,244.0,170,19.0,258,1.37,51.0,54.0,-3.0,-0.08,,52.6,51.8,0.8,0.02,,
