Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Éverson,br BRA,GK,27.0,37,37,3330,37.0,38,1.03,149,113,75.8,10,13,14,13,35.1,2,2,0,0,0.0,Matches
Diogo Silva,br BRA,GK,31.0,1,1,90,1.0,0,0.0,0,0,,0,1,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,28.1,38,38,3420,38.0,38,1.0,149,113,75.8,10,14,14,14,36.8,2,2,0,0,0.0,
Opponent Total,,,27.3,38,38,3420,38.0,32,0.84,142,113,78.9,14,14,10,16,42.1,4,2,1,1,33.3,
