Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Richard,br BRA,GK,29.0,22.0,24,1,1,4,1,24.0,0.3,1.0,0.05,123,293,42.0,434,94,47.5,38.2,174,50.0,41.8,324,11,3.4,15,0.68,13.1,Matches
João Ricardo Riedi,br BRA,GK,32.0,12.5,9,0,0,1,0,12.9,0.25,3.9,0.31,85,183,46.4,247,40,43.7,37.9,115,65.2,47.8,195,5,2.6,6,0.48,13.8,Matches
Vinícius Machado,br BRA,GK,20.0,3.5,5,2,0,1,0,5.8,0.31,0.8,0.22,17,43,39.5,44,9,47.7,38.7,23,95.7,62.8,44,1,2.3,3,0.86,22.2,Matches
Squad Total,,,27.2,38.0,38,3,1,6,1,42.7,0.28,5.7,0.15,225,519,43.4,709,143,46.5,,328,57.6,44.5,563,17,3.0,24,0.63,,
Opponent Total,,,26.4,38.0,39,3,1,7,1,43.0,0.24,5.0,0.13,165,446,37.0,804,139,36.3,34.7,296,52.0,40.5,524,20,3.8,27,0.71,11.8,
