Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jean,br BRA,GK,24.0,36.0,5,5,2,40.0,0.14,0.06,0.2,0.5,37.4,4,4,4,3.4,0.3,0.06,1.6,0.7,Matches
Eder,br BRA,DF,24.0,31.3,0,10,2,20.0,0.32,0.06,0.0,0.0,11.5,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,22.0,30.9,0,15,2,13.3,0.49,0.06,0.0,0.0,22.3,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Marlon Freitas,br BRA,MF,24.0,29.1,0,38,10,26.3,1.3,0.34,0.0,0.0,21.0,0,0,0,2.7,2.7,0.07,-2.7,-2.7,Matches
Chico,br BRA,"MF,FW",28.0,24.4,1,43,11,25.6,1.76,0.45,0.02,0.09,21.2,8,0,0,3.7,3.7,0.09,-2.7,-2.7,Matches
Nicolas,br BRA,DF,22.0,25.4,0,24,5,20.8,0.95,0.2,0.0,0.0,27.6,10,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches
João Victor,br BRA,DF,21.0,24.1,0,4,1,25.0,0.17,0.04,0.0,0.0,18.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Janderson,br BRA,FW,20.0,22.8,3,40,11,27.5,1.75,0.48,0.08,0.27,18.6,0,0,0,4.1,4.1,0.1,-1.1,-1.1,Matches
Gustavo Ferrareis,br BRA,FW,24.0,18.8,3,34,10,29.4,1.81,0.53,0.09,0.3,19.6,0,0,0,3.6,3.6,0.11,-0.6,-0.6,Matches
Zé Roberto,br BRA,FW,26.0,19.3,3,37,13,35.1,1.91,0.67,0.08,0.23,14.4,0,0,0,3.9,3.9,0.11,-0.9,-0.9,Matches
Willian Maranhão,br BRA,MF,24.0,16.0,0,9,2,22.2,0.56,0.13,0.0,0.0,27.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Gilvan,br BRA,DF,30.0,14.4,2,9,4,44.4,0.62,0.28,0.22,0.5,8.7,0,0,0,1.1,1.1,0.12,0.9,0.9,Matches
Edson,br BRA,MF,28.0,14.0,1,10,3,30.0,0.71,0.21,0.1,0.33,23.6,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
