Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
7,Fluminense,38,15,9,14,38,38,0,54,1.42,44.3,46.4,-2.1,-0.06,5647,Luiz Henrique - 6,Marcos Felipe,
8,América (MG),38,13,14,11,41,37,4,53,1.39,56.1,46.8,9.3,0.24,1223,Ademir Santos - 13,Matheus Cavichioli,
9,Atl Goianiense,38,13,14,11,33,36,-3,53,1.39,37.0,50.6,-13.6,-0.36,2506,Zé Roberto - 6,Fernando Miguel,
10,Santos,38,12,14,12,35,40,-5,50,1.32,44.7,51.1,-6.4,-0.17,3527,Marinho - 6,João Paulo,
11,Ceará,38,11,17,10,39,38,1,50,1.32,47.9,49.9,-2.0,-0.05,7926,Vinícius - 8,Richard,
