Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Ronaldo,br BRA,GK,25.0,18.0,27,2,0,3,2,26.5,0.29,1.5,0.09,84,178,47.2,362,85,34.3,33.6,131,41.2,36.4,267,10,3.7,5,0.28,10.9,Matches
Renan dos Santos,br BRA,GK,32.0,16.0,23,1,0,4,0,23.5,0.26,0.5,0.03,77,166,46.4,272,84,39.0,36.5,152,39.5,35.6,372,15,4.0,8,0.5,8.4,Matches
Diego,br BRA,GK,23.0,2.0,2,0,1,0,0,2.6,0.32,0.6,0.32,8,28,28.6,49,14,34.7,34.7,16,68.8,48.6,40,3,7.5,0,0.0,6.5,Matches
Luan Polli,br BRA,GK,28.0,2.0,5,0,0,3,0,3.8,0.35,-1.2,-0.58,6,17,35.3,42,13,28.6,33.5,19,26.3,31.4,55,1,1.8,1,0.5,5.4,Matches
Squad Total,,,26.9,38.0,57,3,1,10,2,56.5,0.28,1.5,0.04,175,389,45.0,716,196,35.5,,327,41.3,36.5,734,29,4.0,14,0.37,,
Opponent Total,,,27.6,38.0,39,2,1,3,1,43.1,0.26,5.1,0.14,185,488,37.9,703,143,40.4,36.6,357,57.1,43.4,584,28,4.8,25,0.66,10.8,
