Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Ronaldo,br BRA,GK,27.0,32,32,2879,32.0,45,1.41,141,95,70.9,7,8,17,6,18.8,7,4,3,0,42.9,Matches
Pedro Rangel,br BRA,GK,23.0,6,6,540,6.0,12,2.0,34,22,70.6,0,1,5,1,16.7,2,2,0,0,0.0,Matches
Squad Total,,,26.5,38,38,3419,38.0,58,1.53,176,117,70.5,7,9,22,7,18.4,9,6,3,0,33.3,
Opponent Total,,,27.6,38,38,3420,38.0,29,0.76,167,138,84.4,22,9,7,16,42.1,5,3,1,1,25.0,
