Player,Nation,Pos,Age,MP,Clube,Year,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Playing Time MP
Carlos Enrique Renteria,co COL,MF,24.0,10,Botafogo-RJ,2020,6,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.3,0.3,0.7,1.0,4.0,16.0,5.0,0.05,0.13,0.18,0.05,0.18,
Federico Barrandeguy,uy URU,DF,23.0,14,Botafogo-RJ,2020,4,549.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,0.1,0.1,0.3,0.3,8.0,18.0,33.0,0.01,0.04,0.05,0.01,0.05,
Alexander Lecaros,pe PER,"FW,MF",20.0,11,Botafogo-RJ,2020,1,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.3,0.3,0.5,0.8,5.0,10.0,44.0,0.1,0.16,0.26,0.1,0.26,
Iván Angulo,co COL,FW,20.0,3,Botafogo-RJ,2020,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,
Gatito Fernández,py PAR,GK,33.0,,Botafogo-RJ,2022,32,2809.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
Víctor Cuesta,ar ARG,DF,33.0,,Botafogo-RJ,2022,28,2569.0,28.5,4.0,2.0,6.0,4.0,0.0,0.0,8.0,0.0,0.14,0.07,0.21,0.14,0.21,Matches,2.0,2.0,0.7,2.7,10.0,78.0,5.0,0.07,0.03,0.09,0.07,0.09,29
Renzo Saravia,ar ARG,"DF,MF",28.0,,Botafogo-RJ,2022,22,1814.0,20.2,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,1.2,1.2,0.7,1.9,57.0,77.0,50.0,0.06,0.03,0.09,0.06,0.09,25
Joel Carli,ar ARG,DF,35.0,,Botafogo-RJ,2022,4,365.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches,0.4,0.4,0.6,1.1,0.0,3.0,0.0,0.11,0.16,0.27,0.11,0.27,5
Jacob Montes,ni NCA,MF,23.0,,Botafogo-RJ,2022,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.3,0.3,0.0,2.0,5.0,0.0,0.31,0.31,0.0,0.31,3
Niko Hämäläinen,fi FIN,"DF,MF",24.0,,Botafogo-RJ,2022,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
Víctor Cuesta,ar ARG,DF,34.0,,Botafogo-RJ,2023,35,3150.0,35.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2.4,2.2,0.8,3.0,10.0,120.0,7.0,0.07,0.02,0.09,0.06,0.09,35
Leonel Di Plácido,ar ARG,DF,29.0,,Botafogo-RJ,2023,25,2355.0,26.2,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches,0.2,0.2,2.4,2.7,57.0,106.0,84.0,0.01,0.09,0.1,0.01,0.1,32
Diego Costa,es ESP,FW,34.0,,Botafogo-RJ,2023,3,517.0,5.7,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.52,0.0,0.52,0.52,0.52,Matches,1.9,1.9,0.1,2.0,9.0,14.0,42.0,0.33,0.02,0.35,0.33,0.35,13
Matias Segovia,py PAR,FW,20.0,,Botafogo-RJ,2023,2,651.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,0.9,0.9,1.5,2.4,44.0,33.0,74.0,0.12,0.21,0.33,0.12,0.33,21
Bastos,ao ANG,DF,31.0,,Botafogo-RJ,2023,2,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03,4
Luis Segovia,ec ECU,DF,25.0,,Botafogo-RJ,2023,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Gatito Fernández,py PAR,GK,34.0,,Botafogo-RJ,2023,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Diego Hernández,uy URU,FW,22.0,,Botafogo-RJ,2023,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.2,0.2,0.0,0.2,1.0,1.0,3.0,0.45,0.0,0.45,0.45,0.45,2
Mateo Ponte,uy URU,DF,19.0,,Botafogo-RJ,2023,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Joel Carli,ar ARG,DF,36.0,,Botafogo-RJ,2023,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
Jacob Montes,ni NCA,MF,24.0,,Botafogo-RJ,2023,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
